date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-17,37.37,37.945,37.22,30.296811443,1129600.0,-0.1467,0.1362,0.2829,29.5346,31.4359,30.4853,52.6065,30.1355,30.41,-0.5634,61.4856,8.7711,False
2012-04-18,37.55,37.81,37.11,30.0880893716,883700.0,-0.1335,0.116,0.2495,29.4973,31.429,30.4632,50.7177,30.1355,30.3404,-0.8782,51.9058,8.3257,False
2012-04-19,36.98,37.19,35.61,28.6671737316,2896900.0,-0.2112,-0.0145,0.1967,29.1277,31.586,30.3568,40.1919,29.7445,30.2195,-3.6528,-13.0536,2.5048,False
2012-04-20,35.75,35.75,33.61,27.5192023388,8040000.0,-0.3239,-0.2081,0.1158,28.4682,31.9508,30.2095,34.0711,29.2628,30.0022,-6.7553,-95.3516,4.4566,False
2012-04-23,33.77,33.83,33.14,26.6762862812,4391200.0,-0.4324,-0.4247,0.0077,27.7015,32.3265,30.014,30.4258,28.6495,29.695,-11.3702,-151.296,5.9825,False
2012-04-24,33.19,33.26,32.38,26.2347588224,3724600.0,-0.5059,-0.6248,-0.1188,26.9941,32.5395,29.7668,28.7024,27.8371,29.3734,-14.3887,-178.6006,8.3884,False
2012-04-25,34.53,35.27,34.16,28.0811463772,4019600.0,-0.4066,-0.6271,-0.2205,26.8231,32.4054,29.6143,43.1346,27.4357,29.1919,-9.6105,-81.3089,1.4087,False
2012-04-26,34.69,35.25,34.41,28.1453685531,1624200.0,-0.317,-0.6167,-0.2997,26.666,32.3289,29.4974,43.5603,27.3314,29.0662,-9.3131,-78.4755,1.4087,False
2012-04-27,35.09,35.315,34.5,27.7760910421,1700700.0,-0.265,-0.6309,-0.366,26.4853,32.2094,29.3473,41.6396,27.3827,28.9051,-7.9619,-84.3734,1.1908,False
2012-04-30,34.42,34.62,34.09,27.6797577784,1346400.0,-0.2213,-0.6426,-0.4213,26.3623,31.9719,29.1671,41.1327,27.5834,28.7392,-11.7287,-104.1658,2.5343,False
2012-05-01,34.53,34.95,34.17,27.6637022344,1176200.0,-0.1795,-0.6457,-0.4662,26.261,31.7337,28.9973,41.0435,27.8692,28.6139,-10.4076,-96.3976,1.4057,False
2012-05-02,34.13,34.861,33.86,27.9205909377,884800.0,-0.1233,-0.6203,-0.497,26.2104,31.4961,28.8532,43.1573,27.8371,28.4694,-10.5899,-97.991,2.4317,False
2012-05-03,34.71,34.73,33.29,26.7806473169,1836800.0,-0.1498,-0.6842,-0.5344,25.9593,31.422,28.6907,36.872,27.5642,28.2133,-8.9169,-132.3572,4.2939,False
2012-05-04,32.93,33.36,31.565,25.3918427648,3860400.0,-0.2423,-0.8373,-0.595,25.4581,31.4431,28.4506,30.9821,27.0873,27.911,-12.1874,-203.7812,9.6039,False
2012-05-07,31.56,31.99,31.21,25.1269262895,1984800.0,-0.2991,-0.9688,-0.6698,24.986,31.4111,28.1986,30.0027,26.5767,27.6032,-15.1459,-223.256,10.6415,False
2012-05-08,31.09,31.67,30.9,25.327620589,2853300.0,-0.3001,-1.0448,-0.7448,24.607,31.3687,27.9878,31.7539,26.1095,27.2719,-16.0837,-216.9031,11.5432,False
2012-05-09,31.17,31.24,30.72,24.9422875341,2459600.0,-0.3027,-1.1232,-0.8205,24.2466,31.2145,27.7305,30.1996,25.5139,26.9289,-18.2413,-220.0389,12.0671,False
2012-05-10,31.2,31.35,30.63,24.7897598665,2229000.0,-0.2908,-1.184,-0.8932,23.9957,30.8821,27.4389,29.5854,25.1157,26.6704,-18.4655,-210.699,11.6561,False
2012-05-11,30.69,31.15,30.61,24.8379264983,2903900.0,-0.2569,-1.2143,-0.9574,23.7623,30.6066,27.1844,30.0666,25.0049,26.4916,-17.875,-199.9707,11.716,False
2012-05-14,30.68,31.45,30.47,24.9904541659,1859400.0,-0.2037,-1.212,-1.0083,23.6094,30.2843,26.9468,31.6514,24.9776,26.3793,-16.2896,-183.1815,10.573,False
2012-05-15,31.19,31.66,30.91,24.9262319901,2149300.0,-0.1546,-1.2015,-1.0469,23.6087,29.7479,26.6783,31.3311,24.8973,26.292,-16.5634,-166.3832,9.7735,False
2012-05-16,31.06,31.66,30.71,24.7014543747,1945200.0,-0.1205,-1.1975,-1.0771,23.6543,29.1637,26.409,30.1856,24.8492,26.0667,-16.2655,-161.797,10.4009,False
2012-05-17,30.7,30.94,30.05,24.1395103363,1887200.0,-0.1188,-1.2256,-1.1068,23.4635,28.9017,26.1826,27.4931,24.7191,25.7997,-16.8056,-172.4221,12.4443,False
2012-05-18,30.23,30.25,29.71,24.0993714764,2285500.0,-0.1041,-1.2368,-1.1328,23.221,28.8021,26.0116,27.3067,24.5714,25.5545,-15.3846,-171.737,13.4781,False
2012-05-21,30.0,30.91,29.7,24.8138431824,2836000.0,-0.0334,-1.1745,-1.1411,23.0987,28.7382,25.9185,35.6301,24.5361,25.3635,-8.6314,-147.1672,10.8935,False
2012-05-22,30.94,31.42,30.83,25.1028429736,2847500.0,0.0415,-1.0893,-1.1308,23.0244,28.6993,25.8619,38.6733,24.5714,25.1928,-5.5322,-121.3444,8.9436,True
2012-05-23,31.69,33.59,31.5,26.9090916685,4773500.0,0.2118,-0.866,-1.0778,23.1066,28.4999,25.8033,53.4198,25.0129,25.1253,-4.7633,-70.9211,1.2408,True
