date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-13,57.25,58.25,57.25,48.7579294971,2327500.0,-0.0474,-0.1516,-0.1041,51.4981,46.3058,48.902,49.0259,48.2457,48.7406,0.2237,-49.5784,6.9332,False
2012-07-16,57.57,58.19,57.57,48.749531645,3808000.0,-0.0288,-0.1401,-0.1113,51.4347,46.2827,48.8587,48.9838,48.286,48.768,-1.623,-45.5353,6.9332,False
2012-07-17,58.34,58.76,57.6,48.9594779484,2929000.0,-0.0011,-0.1128,-0.1116,51.3968,46.2719,48.8343,50.1321,48.5077,48.8716,-0.6257,-34.473,5.3362,False
2012-07-18,58.04,59.04,58.04,49.496940485,1863800.0,0.0515,-0.0472,-0.0987,51.2972,46.2968,48.797,53.0319,48.8117,49.011,-2.122,-16.7328,4.5562,True
2012-07-19,59.23,59.78,58.76,49.8412524226,2955400.0,0.1047,0.0322,-0.0725,51.2685,46.3053,48.7869,54.8346,49.161,49.2058,-0.5324,8.9782,2.5158,True
2012-07-20,58.75,59.4,58.59,49.5473275978,3079700.0,0.1145,0.0706,-0.0439,51.3234,46.4469,48.8852,52.9749,49.3189,49.3385,-0.7187,0.5117,2.9582,True
2012-07-23,57.87,58.08,57.55,48.4975960809,2751300.0,0.048,0.0161,-0.0319,51.3252,46.4611,48.8931,46.8899,49.2685,49.2075,0.467,-47.5289,5.6229,True
2012-07-24,57.76,58.18,56.8,48.0944991784,3100500.0,-0.0216,-0.0589,-0.0373,51.293,46.5621,48.9276,44.7739,49.0955,49.0272,2.2496,-63.2,7.486,False
2012-07-25,57.61,57.96,57.15,48.4304132638,2038200.0,-0.0423,-0.0902,-0.0479,51.2528,46.7048,48.9788,46.9129,48.8822,48.8357,1.5951,-53.1753,7.486,False
2012-07-26,58.57,59.538,58.57,49.7236824927,3172400.0,0.0299,-0.0106,-0.0404,51.2059,47.0322,49.119,54.226,48.8587,48.7764,4.8758,32.2048,3.0592,True
