date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-03,31.89,32.08,31.665,23.6561386295,4553200.0,0.0579,-0.0203,0.0782,23.4334,23.8945,22.9723,55.9581,23.3606,23.4946,1.8736,82.6373,8.2962,False
2012-04-04,31.69,31.73,31.31,23.2867423361,2739400.0,0.0411,-0.0297,0.0708,23.4482,23.8688,23.0276,48.5594,23.2927,23.4833,1.6661,-6.7813,5.4182,False
2012-04-05,31.4,31.57,31.345,23.3089061137,2520600.0,0.0292,-0.0332,0.0625,23.4574,23.8567,23.0581,48.993,23.3222,23.4724,0.7018,-16.7776,5.4182,False
2012-04-09,31.25,31.25,30.98,22.9395098203,1617700.0,-0.0098,-0.0578,0.048,23.4411,23.8935,22.9888,42.584,23.3311,23.434,-0.9509,-111.9275,2.5212,False
2012-04-10,31.02,31.1,30.52,22.6292169339,2824400.0,-0.0651,-0.0905,0.0254,23.4072,23.9802,22.8342,38.0986,23.1641,23.3729,-1.5823,-193.1223,0.9668,False
2012-04-11,30.96,30.99,30.76,22.8730184875,1770500.0,-0.0882,-0.0909,0.0027,23.3728,23.986,22.7596,43.1404,23.0075,23.3306,-2.8222,-161.523,0.9668,False
2012-04-12,31.06,31.24,30.86,23.0577166342,1487500.0,-0.0906,-0.0746,-0.016,23.3529,23.9797,22.7261,46.6664,22.9617,23.2941,-2.0383,-114.768,0.9277,False
2012-04-13,31.17,31.18,30.82,22.7769754512,1527600.0,-0.1138,-0.0782,-0.0355,23.3181,23.9901,22.6462,42.3858,22.8553,23.2385,-2.0729,-149.6966,0.6205,False
2012-04-16,30.88,31.06,30.73,22.8582426358,4252300.0,-0.1242,-0.0709,-0.0533,23.2853,23.9793,22.5912,43.9795,22.839,23.1991,-2.9375,-150.6,0.0754,False
2012-04-17,31.1,31.29,31.07,23.0355528566,2560900.0,-0.1168,-0.0508,-0.066,23.2598,23.9512,22.5683,47.3821,22.9203,23.1523,-2.1423,-84.4672,1.6917,False
2012-04-18,31.11,31.16,30.83,22.8804064134,1678300.0,-0.122,-0.0448,-0.0772,23.2284,23.9288,22.528,44.8294,22.9218,23.0966,-2.1664,-125.0912,0.1787,False
2012-04-19,30.92,30.99,30.6,22.732647896,2224800.0,-0.1365,-0.0475,-0.0891,23.1848,23.8946,22.475,42.4934,22.8568,23.037,-3.488,-164.4039,1.9365,False
2012-04-20,30.81,31.04,30.72,22.7252599702,2600500.0,-0.1469,-0.0463,-0.1006,23.1405,23.8488,22.4321,42.3751,22.8464,23.008,-3.0,-146.4862,1.5412,False
2012-04-23,30.66,30.66,30.3,22.5922773045,2028800.0,-0.164,-0.0507,-0.1133,23.0976,23.8293,22.3659,40.2161,22.7932,22.9878,-4.1276,-211.1208,4.6983,False
2012-04-24,30.67,30.8,30.42,22.5257859717,2358100.0,-0.1808,-0.054,-0.1268,23.037,23.7471,22.3269,39.1475,22.6913,22.9252,-4.4665,-189.5924,3.5725,False
2012-04-25,30.73,30.92,30.62,22.8286909323,1735400.0,-0.1678,-0.0328,-0.135,22.9927,23.6354,22.35,46.1334,22.6809,22.8701,-4.0794,-130.0158,2.6108,False
2012-04-26,30.76,31.15,30.726,22.9838373755,6641200.0,-0.1433,-0.0066,-0.1367,22.9606,23.5338,22.3873,49.3258,22.7312,22.8499,-3.0803,-87.8465,0.7866,False
2012-04-27,31.23,31.3,31.005,23.0060011531,6809900.0,-0.1207,0.0128,-0.1335,22.9528,23.5191,22.3865,49.7814,22.7873,22.8297,-1.9116,-53.5525,0.3878,True
2012-04-30,31.12,31.12,30.91,22.8877943393,6934200.0,-0.111,0.018,-0.129,22.9524,23.5189,22.3859,47.3491,22.8464,22.8262,-1.269,-81.4493,0.36,True
