date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-03-12,24.62,24.7,24.25,9.87464324299,7281600.0,0.3154,0.0242,0.2912,9.4321,10.1192,8.7451,73.3651,9.9114,9.5298,8.667,124.7715,40.4078,True
2013-03-13,24.54,24.5799,24.28,9.91301882524,7717900.0,0.311,0.0158,0.2952,9.4693,10.1757,8.7629,74.171,9.913,9.5833,7.289,121.5349,40.4078,True
2013-03-14,24.68,24.83,24.63,9.98976998974,5901800.0,0.3101,0.0119,0.2982,9.5119,10.2357,8.7881,75.7437,9.9183,9.6484,8.9035,128.6311,41.6972,True
2013-03-15,24.64,24.77,24.355,9.91503859273,6867900.0,0.2999,0.0014,0.2985,9.5498,10.2747,8.8248,71.2197,9.9163,9.6919,8.9749,118.9317,38.3497,True
2013-03-18,24.26,24.655,24.15,9.90090022032,4898200.0,0.2873,-0.0089,0.2963,9.5898,10.2994,8.8801,70.3678,9.9187,9.7479,7.6168,111.6478,35.9156,False
2013-03-19,24.55,24.67,24.085,9.78375370608,8217100.0,0.2649,-0.0251,0.29,9.6225,10.3039,8.941,63.6125,9.9005,9.7953,8.5827,104.9934,35.1488,False
2013-03-20,24.07,24.65,24.05,9.90493975529,7837200.0,0.254,-0.0288,0.2828,9.6622,10.3116,9.0127,67.1119,9.8989,9.8301,7.6889,106.4349,34.7326,False
2013-03-21,24.37,24.51,24.29,9.85646533561,6227400.0,0.2386,-0.0353,0.274,9.7044,10.2855,9.1233,64.4553,9.8722,9.8559,8.4513,104.2045,34.7326,False
2013-03-22,24.5,24.66,24.39,9.94937464,6911500.0,0.2313,-0.0341,0.2654,9.7387,10.2919,9.1856,67.1275,9.8791,9.8815,7.451,108.6932,35.6115,False
2013-03-25,24.64,24.73,24.325,9.92109789519,4964200.0,0.2207,-0.0358,0.2565,9.7817,10.2435,9.3199,65.5213,9.8831,9.8978,7.242,105.3573,36.0203,False
2013-03-26,24.75,24.8,24.44,9.92513743016,6653900.0,0.2102,-0.037,0.2472,9.8244,10.1554,9.4933,65.6471,9.9114,9.9078,9.444,105.9145,36.4308,False
2013-03-27,24.48,24.6,24.345,9.90897929027,5918200.0,0.1982,-0.0392,0.2374,9.8506,10.1142,9.587,64.6363,9.9122,9.908,5.7155,98.8344,35.2333,False
2013-03-28,24.49,24.75,24.4,9.96957231487,6748700.0,0.1915,-0.0368,0.2282,9.8757,10.0772,9.6741,66.6967,9.9348,9.9084,4.2105,102.1807,36.1335,False
2013-04-01,24.78,24.79,24.345,9.88070254545,6502000.0,0.1769,-0.0411,0.218,9.8914,10.0342,9.7486,61.1024,9.9211,9.9055,4.335,95.9455,35.4316,False
2013-04-02,24.65,24.79,24.56,9.96149324492,5932100.0,0.1699,-0.0384,0.2084,9.9056,10.0122,9.7991,64.0402,9.9292,9.9103,3.1842,99.754,35.4316,False
2013-04-03,24.73,24.76,24.4,9.87666301048,6057700.0,0.1557,-0.0421,0.1978,9.9107,10.0004,9.821,59.025,9.9195,9.9105,1.4338,89.8327,33.3631,False
2013-04-04,24.41,24.52,24.25,9.89686068534,3987100.0,0.1445,-0.0427,0.1872,9.9103,10.0001,9.8205,59.8275,9.9171,9.9094,-0.2035,80.9707,31.4489,False
2013-04-05,24.15,24.35,23.855,9.8120304509,6283600.0,0.1272,-0.048,0.1752,9.9027,9.9987,9.8068,54.9814,9.8855,9.8975,-1.4968,65.2329,26.5835,False
2013-04-08,24.24,24.28,23.98,9.795872311,6081700.0,0.111,-0.0514,0.1623,9.8963,10.0022,9.7903,54.0873,9.8686,9.8896,-2.5291,62.9543,26.5835,False
2013-04-09,24.25,24.34,23.98,9.77971417111,5265700.0,0.0957,-0.0533,0.149,9.8908,10.0083,9.7733,53.1611,9.8322,9.8815,-1.4575,60.8166,27.0079,False
