date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-31,36.18,36.64,35.8899,29.3713429176,2957800.0,0.085,-0.3824,-0.4675,30.5964,29.3503,28.1043,46.5631,29.1876,29.1126,-5.4655,-90.9777,6.4362,True
2012-06-01,35.58,36.28,35.58,28.8625734362,3471700.0,0.0697,-0.3803,-0.45,30.3863,29.2637,28.1411,41.383,29.1934,29.0542,-6.4662,-111.0657,7.7812,True
2012-06-04,35.73,36.2,35.18,28.8141191999,2661500.0,0.0575,-0.3782,-0.4357,30.2829,29.2027,28.1224,40.9185,29.1592,28.9819,-4.2486,-115.8236,9.4892,True
2012-06-05,35.62,36.34,35.59,29.2300180616,1830200.0,0.0773,-0.3391,-0.4163,30.1839,29.1648,28.1458,46.4465,29.0943,28.9449,-2.704,-92.5184,8.7721,True
2012-06-06,36.44,37.34,36.37,30.1385349927,1923200.0,0.1474,-0.232,-0.3795,30.2161,29.172,28.1279,56.0675,29.2833,28.9838,0.2126,-38.5931,3.8328,True
2012-06-07,37.8,37.88,36.79,29.7509011021,2257700.0,0.1624,-0.1765,-0.3389,30.2231,29.1743,28.1254,51.8123,29.3592,29.0263,2.4802,-28.5915,1.3065,True
2012-06-08,36.83,37.2,36.68,29.9608694595,1886500.0,0.1798,-0.1142,-0.2939,30.2623,29.1854,28.1085,53.8452,29.5789,29.1186,0.3712,-36.6853,1.8014,True
2012-06-11,37.62,37.63,36.29,29.3350022403,1829300.0,0.144,-0.114,-0.258,30.1864,29.1572,28.128,47.4519,29.6831,29.2006,0.5893,-48.3347,0.1884,True
2012-06-12,36.56,37.31,36.43,30.1223835806,2034100.0,0.1666,-0.0498,-0.2163,30.2535,29.174,28.0945,54.7017,29.8615,29.2935,0.8299,-31.9351,0.1884,True
2012-06-13,37.16,37.17,36.49,29.5732355689,1921800.0,0.1389,-0.0427,-0.1816,30.2559,29.175,28.0941,49.5893,29.7485,29.3535,0.3171,-44.4374,0.1884,True
2012-06-14,36.8,36.8,36.09,29.4278728599,2253500.0,0.1067,-0.0482,-0.1549,30.2767,29.1907,28.1047,48.3088,29.6839,29.4102,-0.0663,-60.8567,1.6915,True
2012-06-15,36.61,36.95,36.34,29.8074310445,2957800.0,0.1065,-0.0217,-0.1283,30.3315,29.2522,28.1729,51.7914,29.6532,29.4752,2.045,-41.9173,0.969,True
2012-06-18,36.76,37.595,36.66,30.332351938,1881000.0,0.1355,0.0412,-0.0944,30.4053,29.3636,28.3219,56.1673,29.8527,29.565,5.8263,-7.2111,2.0735,True
2012-06-19,37.8,38.17,37.61,30.6876830043,2606300.0,0.1701,0.1183,-0.0519,30.6091,29.4615,28.314,58.8746,29.9657,29.6405,7.0564,36.6048,4.6775,True
2012-06-20,38.16,38.48,37.95,30.9057270678,2218100.0,0.1973,0.1948,-0.0025,30.8221,29.5732,28.3242,60.4795,30.2322,29.7547,7.6265,60.1183,6.0473,True
2012-06-21,38.14,38.22,37.26,30.1385349927,2123200.0,0.155,0.1913,0.0362,30.8349,29.6513,28.4676,52.7231,30.3743,29.8058,7.7662,21.6902,2.7066,True
2012-06-22,37.57,37.92,37.45,30.4696389409,7928300.0,0.1412,0.2127,0.0715,30.9054,29.7331,28.5608,55.3698,30.5068,29.913,5.7083,32.4108,2.7066,True
2012-06-25,37.29,37.31,36.8,29.8478095747,2295700.0,0.0848,0.1776,0.0927,30.8977,29.7762,28.6547,49.764,30.4099,29.9819,3.4074,-14.1383,0.3516,True
2012-06-26,37.0,37.07,36.23,29.585349128,2434700.0,0.0274,0.127,0.0996,30.8981,29.7778,28.6574,47.5853,30.1894,30.0056,1.2395,-40.4099,2.9293,True
2012-06-27,36.77,37.29,36.62,29.9447180474,2328300.0,0.012,0.1147,0.1026,30.9047,29.8153,28.7259,50.7486,29.9972,29.9926,2.4451,-9.3926,1.8947,True
2012-06-28,36.64,36.87,36.1,29.4924785084,3074600.0,-0.028,0.0676,0.0956,30.9021,29.8214,28.7406,46.9298,29.868,29.9754,0.6277,-49.1507,4.209,False
2012-06-29,37.07,37.67,37.02,30.4211847046,2371900.0,0.0067,0.104,0.0973,30.9151,29.8993,28.8835,54.4683,29.8583,30.0061,3.8313,35.1316,0.4998,True
