date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-18,46.32,46.7,45.55,28.9776862135,2872600.0,-0.5058,-0.8373,-0.3314,31.9474,34.6356,29.2593,25.5648,30.3426,31.4751,-12.2632,-165.2683,7.3025,False
2012-05-21,45.71,46.27,45.39,29.3847476529,2695200.0,-0.5854,-0.9034,-0.3181,31.7779,34.6568,28.899,30.2854,29.8618,31.2388,-10.9103,-160.8875,7.7219,False
2012-05-22,46.29,46.34,45.82,29.2575409531,2220400.0,-0.6593,-0.9551,-0.2958,31.6103,34.6611,28.5595,29.6557,29.3987,30.9901,-10.7585,-154.2063,7.5054,False
2012-05-23,45.71,45.97,44.7748,29.1939376032,4266400.0,-0.7254,-0.9898,-0.2644,31.3899,34.4702,28.3097,29.329,29.2448,30.7526,-13.0181,-164.5221,10.2434,False
2012-05-24,46.13,46.13,45.27,29.0921722434,1759000.0,-0.7831,-1.0139,-0.2308,31.1041,33.9113,28.2969,28.7854,29.1812,30.5522,-16.1954,-154.3423,9.7377,False
2012-05-25,45.78,46.49,45.7,29.3529459779,2000500.0,-0.8266,-1.0003,-0.1738,30.9204,33.6807,28.1602,32.2338,29.2563,30.4096,-11.669,-138.7999,8.5979,False
2012-05-29,46.74,47.14,46.38,29.7918090922,2543400.0,-0.8499,-0.9433,-0.0934,30.7635,33.4033,28.1238,37.6756,29.3377,30.3017,-9.3565,-117.2157,6.5655,False
2012-05-30,46.4,46.53,45.86,29.2384599481,2397500.0,-0.8663,-0.932,-0.0657,30.576,33.0864,28.0656,33.9884,29.3339,30.1498,-11.3421,-136.1836,7.9668,False
2012-05-31,45.86,46.08,45.0,29.1494152583,2184200.0,-0.877,-0.9197,-0.0427,30.3957,32.7683,28.0231,33.4245,29.325,29.9864,-10.8843,-148.508,10.2311,False
2012-06-01,45.1,45.44,44.26,28.3416527146,2614600.0,-0.8944,-0.964,-0.0696,30.2079,32.6062,27.8095,28.7825,29.1749,29.7558,-11.8172,-169.848,12.123,False
2012-06-04,44.71,45.32,44.0557,28.3988957295,1823700.0,-0.9121,-0.9831,-0.071,30.0532,32.4988,27.6076,29.5256,28.984,29.5276,-9.8435,-166.7583,12.6399,False
2012-06-05,44.75,45.39,44.555,28.6024264491,2221600.0,-0.9238,-0.9706,-0.0468,29.9128,32.3531,27.4726,32.22,28.7462,29.3152,-8.4197,-151.9172,12.4095,False
2012-06-06,45.35,46.56,45.26,29.5946387075,1909500.0,-0.9132,-0.8707,0.0425,29.8167,32.1455,27.4879,43.5023,28.8174,29.1833,-6.4713,-116.0538,8.6326,True
2012-06-07,46.95,47.07,45.89,29.2193789431,1936600.0,-0.893,-0.8124,0.0807,29.6977,31.8891,27.5063,40.7534,28.8314,29.1337,-5.8974,-106.3744,7.0384,True
2012-06-08,45.89,47.38,45.69,30.1034655067,2526700.0,-0.8518,-0.6869,0.1649,29.6128,31.5929,27.6326,48.9034,29.1838,29.1799,-5.9547,-89.3788,6.0761,True
2012-06-11,47.89,48.145,46.93,29.8872141171,2206800.0,-0.8011,-0.598,0.203,29.5161,31.2259,27.8062,47.2017,29.4814,29.2406,-4.7577,-72.4861,3.7357,True
2012-06-12,47.13,47.66,46.746,30.3069962264,1922500.0,-0.7385,-0.4881,0.2504,29.442,30.8539,28.0301,50.7649,29.8223,29.3021,-4.9462,-69.9299,4.2524,True
2012-06-13,47.53,48.39,47.23,30.1734291916,2218400.0,-0.6722,-0.4071,0.2651,29.372,30.4551,28.289,49.6232,29.9381,29.3631,-3.7781,-59.5503,2.0425,True
2012-06-14,47.53,47.82,46.79,30.0907448367,1638500.0,-0.6069,-0.3455,0.2613,29.3784,30.4766,28.2802,48.8939,30.1124,29.4229,-2.2286,-66.4105,3.299,True
2012-06-15,47.5,48.32,47.35,30.7267783357,2432800.0,-0.534,-0.2426,0.2914,29.4442,30.6901,28.1983,54.4156,30.237,29.5319,1.7692,-48.0331,1.7901,True
2012-06-18,48.17,49.48,48.03,31.4327755196,1849300.0,-0.4478,-0.103,0.3448,29.567,31.0634,28.0705,59.6061,30.5461,29.6705,5.9529,-23.0869,1.6008,True
2012-06-19,49.68,50.0,49.27,31.5154598745,2316500.0,-0.3554,0.0143,0.3697,29.6735,31.3901,27.9569,60.1751,30.7878,29.7854,8.0614,-6.7273,3.0728,True
2012-06-20,49.75,50.145,49.3,31.6426665743,1741100.0,-0.2611,0.1161,0.3772,29.7928,31.6982,27.8874,61.0788,31.0817,29.9457,8.211,-2.1961,3.4822,True
2012-06-21,49.56,49.8,48.2401,30.7967420206,2086800.0,-0.1835,0.1271,0.3105,29.8729,31.8055,27.9403,52.5777,31.2229,30.0556,8.3315,-23.4995,0.3318,True
2012-06-22,48.58,48.96,48.3,30.8412643655,5278300.0,-0.1192,0.1377,0.257,29.9604,31.902,28.0188,52.947,31.2458,30.2222,6.1348,-27.8537,0.3318,True
2012-06-25,48.08,48.09,46.75,29.931736462,2262800.0,-0.081,0.072,0.153,29.9893,31.911,28.0676,45.2364,30.9456,30.3244,3.4416,-59.4038,4.0846,True
2012-06-26,47.26,47.66,46.76,30.1861498616,1638700.0,-0.0568,0.04,0.0968,30.009,31.9303,28.0878,47.5266,30.6797,30.43,1.1031,-57.4575,4.0846,True
2012-06-27,47.85,48.33,47.57,30.5995716359,1335100.0,-0.0359,0.0474,0.0833,30.0771,31.9807,28.1735,51.0879,30.4711,30.497,3.8685,-36.4009,2.076,True
2012-06-28,47.91,48.0,46.9,30.2115912016,1482900.0,-0.0244,0.0217,0.0461,30.1302,31.986,28.2744,47.8243,30.3541,30.5631,4.1667,-49.114,3.9607,True
2012-06-29,48.5,49.46,48.42,31.3246498248,1780000.0,-0.0015,0.0902,0.0917,30.2793,32.0115,28.5471,56.388,30.4507,30.6445,8.8468,-3.2564,0.292,True
2012-07-02,49.07,49.5,48.56,31.1338397751,1610800.0,0.0243,0.1275,0.1032,30.4161,31.9538,28.8784,54.7378,30.6912,30.7276,9.2233,-2.5416,0.4055,True
