date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-11-16,29.59,29.66,28.92,23.9231643373,3730300.0,-0.6072,-0.4271,-0.18,25.5027,23.891,27.1144,30.246,24.3337,25.4503,-9.3452,-198.1688,21.8725,False
2012-11-19,29.23,30.03,29.22,24.6741741268,2541000.0,-0.589,-0.4595,-0.1295,25.4445,23.8017,27.0874,40.1748,24.3242,25.3896,-6.5999,-149.5824,16.8977,False
2012-11-20,29.79,30.02,29.39,24.4104554989,1903100.0,-0.5891,-0.4854,-0.1037,25.3882,23.6858,27.0907,38.1327,24.2979,25.2939,-4.4576,-146.4144,16.8977,False
2012-11-21,29.68,29.82,29.41,24.2373901493,2605000.0,-0.5962,-0.5076,-0.0887,25.3258,23.5521,27.0994,36.8168,24.2728,25.2079,-4.2507,-147.4334,16.8977,False
2012-11-23,29.67,29.99,29.54,24.7153801624,857600.0,-0.5569,-0.5175,-0.0395,25.2729,23.4927,27.0532,42.6709,24.3921,25.0907,-4.523,-126.8587,15.7159,False
2012-11-26,29.9,30.09,29.51,24.4763851558,1947100.0,-0.5388,-0.5217,-0.0171,25.2134,23.4104,27.0165,40.6531,24.5028,24.9772,-4.2649,-126.0786,15.0204,False
2012-11-27,29.73,30.02,29.56,24.5093499843,1854500.0,-0.5159,-0.5206,0.0047,25.1597,23.34,26.9793,41.0649,24.4698,24.8523,-4.6974,-121.4225,15.0204,True
2012-11-28,29.7,30.41,29.29,24.9378927547,3755600.0,-0.4579,-0.508,0.0502,25.1143,23.3202,26.9083,46.2596,24.5753,24.7145,-3.2468,-106.421,12.2978,True
2012-11-29,30.29,30.44,30.05,24.8637218906,1828700.0,-0.4131,-0.489,0.0759,25.081,23.2943,26.8678,45.5157,24.7005,24.6284,-3.4852,-91.2538,12.0903,True
2012-11-30,30.2,30.52,30.092,25.0697520687,2235400.0,-0.3569,-0.4626,0.1057,25.0109,23.3419,26.6798,48.0044,24.7714,24.567,-5.0175,-82.0425,11.5313,True
2012-12-03,30.56,30.67,29.88,24.6494505054,1623900.0,-0.3423,-0.4385,0.0963,24.9344,23.3485,26.5203,43.6468,24.806,24.5475,-4.5507,-89.4936,12.7045,True
2012-12-04,29.92,29.96,29.56,24.5752796413,1757300.0,-0.3329,-0.4174,0.0845,24.844,23.3989,26.2891,42.9103,24.8192,24.5378,-6.6167,-106.0813,14.4461,True
2012-12-05,29.82,29.95,29.6,24.6659329197,1709000.0,-0.3145,-0.3968,0.0823,24.7271,23.675,25.7792,44.1445,24.7648,24.546,-9.0982,-99.9029,14.4461,True
2012-12-06,29.95,30.53,29.92,25.1439229328,1837100.0,-0.2584,-0.3691,0.1108,24.6766,23.8258,25.5273,50.2238,24.8209,24.5981,-5.7402,-70.3332,10.3205,True
2012-12-07,30.69,30.9,30.44,25.424123975,1994500.0,-0.1891,-0.3331,0.144,24.6482,23.9509,25.3454,53.4088,24.8917,24.6851,-3.6867,-45.7137,7.7994,True
2012-12-10,30.75,31.17,30.68,25.5395008747,2405900.0,-0.1235,-0.2912,0.1677,24.6781,23.8879,25.4682,54.6879,25.0698,24.7928,0.1475,-31.7698,6.0018,True
2012-12-11,31.16,31.78,31.06,25.9350788167,2582400.0,-0.0391,-0.2408,0.2017,24.7387,23.7769,25.7006,58.839,25.3417,24.8769,4.4309,-1.7892,2.0904,True
2012-12-12,31.68,32.0,31.57,26.1246265805,2647600.0,0.0426,-0.1841,0.2267,24.8179,23.688,25.9477,60.688,25.6335,24.9912,6.082,19.7812,0.7272,True
2012-12-13,31.95,32.13,31.48,26.1658326161,3119600.0,0.1094,-0.1254,0.2348,24.908,23.6566,26.1594,61.0951,25.8378,25.1197,6.478,24.3641,0.0746,True
2012-12-14,31.65,31.91,31.495,26.0751793377,1747600.0,0.1533,-0.0697,0.2229,25.0058,23.7114,26.3003,59.6394,25.968,25.2104,7.5455,20.7323,0.0746,True
2012-12-17,31.7,31.95,31.34,26.2564858945,2983000.0,0.2003,-0.0157,0.216,25.1225,23.8188,26.4262,61.5999,26.1114,25.3291,8.9873,25.9874,0.8981,True
2012-12-18,31.83,32.47,31.74,26.6355814221,3996000.0,0.2652,0.0405,0.2247,25.2206,23.7788,26.6624,65.3685,26.2515,25.4708,8.1252,59.7399,2.3405,True
2012-12-19,32.41,32.7999,32.23,26.7509583218,2326600.0,0.3222,0.0968,0.2253,25.3376,23.801,26.8742,66.4425,26.3768,25.5917,9.2602,84.6477,4.3218,True
2012-12-20,32.47,32.71,32.18,26.8910588429,1711200.0,0.3743,0.1523,0.222,25.4703,23.8793,27.0613,67.7438,26.5219,25.7269,9.6915,87.7061,3.9966,True
2012-12-21,32.33,32.67,32.1,26.8580940144,3190100.0,0.4083,0.2035,0.2048,25.5774,23.9171,27.2377,67.0879,26.6784,25.8461,8.9363,85.0164,3.4718,True
2012-12-24,32.49,32.588,32.1,26.8333703931,654200.0,0.4283,0.2485,0.1798,25.6953,24.0297,27.3608,66.57,26.7938,25.9917,8.3018,82.0591,3.4718,True
2012-12-26,32.52,32.745,32.4,26.8333703931,1077000.0,0.439,0.2866,0.1525,25.8115,24.1689,27.454,66.57,26.8334,26.1422,9.0773,92.6524,4.4505,True
2012-12-27,32.55,32.64,32.0,26.6355814221,1407900.0,0.4267,0.3146,0.1121,25.8963,24.2678,27.5249,62.1628,26.8103,26.2735,7.3331,75.0995,1.7769,True
2012-12-28,32.1,32.46,31.95,26.4625160725,895400.0,0.3984,0.3314,0.067,25.9763,24.4022,27.5503,58.5301,26.7246,26.3614,6.636,65.5952,1.4468,True
2012-12-31,31.97,32.59,31.802,26.8580940144,1609400.0,0.4032,0.3457,0.0575,26.0657,24.5047,27.6267,63.722,26.7246,26.457,6.7824,78.0123,0.466,True
2013-01-02,33.17,33.75,33.11,27.8140740407,2494400.0,0.4786,0.3723,0.1063,26.2239,24.6281,27.8198,72.6033,26.9207,26.6087,10.0424,162.494,7.5876,True
2013-01-03,33.74,33.775,33.31,27.5256317914,1483300.0,0.5093,0.3997,0.1096,26.3715,24.8698,27.8731,67.2788,27.0592,26.7147,12.7336,156.8963,7.7323,True
2013-01-04,33.5,33.5,33.0,27.3690488561,2403300.0,0.515,0.4227,0.0922,26.5066,25.1652,27.848,64.5264,27.2059,26.7977,11.8531,137.5073,5.6464,True
2013-01-07,33.09,33.45,32.98,27.3360840276,1722100.0,0.5109,0.4404,0.0706,26.6162,25.3844,27.8481,63.9364,27.3806,26.8757,9.5644,133.1403,5.5124,True
2013-01-08,33.05,33.1292,32.38,26.8502648677,2104600.0,0.4632,0.4449,0.0183,26.6875,25.5812,27.7938,55.8699,27.379,26.9273,7.2142,96.9123,1.5807,True
2013-01-09,32.75,33.1,32.68,27.1465362638,2428400.0,0.4442,0.4448,-0.0006,26.7679,25.7797,27.7561,59.2307,27.2455,26.9867,6.1919,108.177,1.5807,False
2013-01-10,33.11,33.55,33.06,27.6492498983,2322500.0,0.4643,0.4487,0.0156,26.8536,25.8718,27.8353,64.1889,27.2702,27.0543,5.5695,135.3773,4.3454,True
2013-01-11,33.46,33.66,33.315,27.6822147268,2249600.0,0.4774,0.4544,0.023,26.9315,25.9463,27.9167,64.4923,27.3329,27.1163,5.1875,137.8772,5.0087,True
2013-01-14,33.38,33.55,32.979,27.2866367849,2799700.0,0.4507,0.4537,-0.003,26.9875,26.0569,27.9181,58.1574,27.323,27.1427,4.4195,113.9583,2.7944,False
2013-01-15,33.06,33.12,32.7,27.2124659207,2747100.0,0.4187,0.4467,-0.028,27.0444,26.2096,27.8791,57.032,27.3954,27.1663,3.7919,95.1415,0.996,False
2013-01-16,33.03,33.48,32.83,27.4926669629,2022400.0,0.4112,0.4396,-0.0284,27.1062,26.3332,27.8792,60.1531,27.4646,27.2103,4.7887,109.4433,3.2178,False
