date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-12-10,23.53,23.74,23.24,20.118872131,397000.0,0.1742,0.0504,0.1238,19.591,18.8925,20.2896,61.886,19.9453,19.7605,4.684,99.9415,1.8633,True
2012-12-11,23.75,23.93,23.585,20.2037618869,468300.0,0.1924,0.0549,0.1375,19.6458,18.9357,20.356,63.3631,20.0112,19.8246,5.0621,138.1516,0.0781,True
2012-12-12,23.8,23.9,23.55,20.0849162287,438300.0,0.195,0.046,0.149,19.6913,18.9911,20.3915,59.8819,20.06,19.8723,4.6113,127.9169,0.4051,True
2012-12-13,23.65,23.79,23.3719,19.8726918391,350900.0,0.178,0.0232,0.1548,19.7312,19.0876,20.3749,54.1861,20.0377,19.8874,4.7212,97.0766,2.0635,True
2012-12-14,23.76,23.76,23.04,19.5755776937,497300.0,0.1388,-0.0128,0.1516,19.7551,19.1745,20.3356,47.4203,19.9712,19.8775,4.5891,55.0728,5.0595,False
2012-12-17,23.13,23.43,23.03,19.8387359368,602300.0,0.1276,-0.0192,0.1468,19.7992,19.3486,20.2498,52.9905,19.9151,19.8752,3.9654,55.6921,5.1484,False
2012-12-18,23.36,23.53,23.31,19.9490926194,327600.0,0.1261,-0.0165,0.1427,19.8345,19.4595,20.2095,55.1265,19.8642,19.8914,3.6673,90.2822,4.1565,False
2012-12-19,23.55,23.55,23.24,19.7368682298,392800.0,0.1066,-0.0288,0.1355,19.8529,19.5401,20.1657,50.4074,19.7946,19.8929,3.2138,72.4983,4.7959,False
2012-12-20,23.33,23.51,23.17,19.8896697903,518300.0,0.1023,-0.0265,0.1288,19.865,19.5666,20.1635,53.4795,19.798,19.9017,1.3197,77.161,5.4373,False
2012-12-21,23.14,23.34,22.6,19.8132690101,1395900.0,0.0917,-0.0297,0.1214,19.8695,19.5772,20.1619,51.7618,19.8455,19.8965,0.1374,22.4887,10.4347,False
2012-12-24,23.28,23.51,22.98,19.8811808147,250500.0,0.0877,-0.0269,0.1147,19.8699,19.5775,20.1623,53.1936,19.854,19.9048,-0.1326,62.6903,8.6925,False
2012-12-26,23.5,23.5,23.055,19.5925556449,396000.0,0.0606,-0.0433,0.1038,19.8642,19.5554,20.173,46.8599,19.7827,19.886,0.0358,44.4681,8.6925,False
2012-12-27,23.15,23.15,22.67,19.2954414995,565700.0,0.0149,-0.0711,0.0861,19.8432,19.451,20.2355,41.4204,19.6944,19.8497,-0.5719,-25.852,11.946,False
2012-12-28,22.62,22.89,22.54,19.2614855972,506600.0,-0.0237,-0.0878,0.0641,19.8185,19.352,20.2849,40.8399,19.5688,19.8015,-2.4372,-52.9546,13.0103,False
2012-12-31,22.6,22.96,22.5,19.4227761333,924800.0,-0.0408,-0.084,0.0431,19.7951,19.2994,20.2907,44.7786,19.4907,19.7691,-2.2216,-37.731,12.2672,False
2013-01-02,23.35,23.6,23.246,20.0254933996,748900.0,-0.0057,-0.0391,0.0333,19.8085,19.3033,20.3137,56.4003,19.5196,19.7629,0.504,93.9978,5.7989,False
2013-01-03,23.6,23.67,23.29,19.9321146682,816800.0,0.0144,-0.0152,0.0296,19.8114,19.304,20.3187,54.4965,19.5875,19.7448,0.9728,92.2427,5.1252,False
2013-01-04,23.54,23.59,23.355,19.9321146682,663600.0,0.03,0.0004,0.0297,19.8159,19.306,20.3259,54.4965,19.7148,19.7346,0.7595,90.5056,5.1252,True
2013-01-07,23.38,23.61,23.29,19.957581595,511000.0,0.0439,0.0114,0.0325,19.8146,19.3063,20.323,54.9724,19.854,19.7403,0.2077,87.3608,5.7018,True
2013-01-08,23.47,23.96,23.26,20.0509603264,828900.0,0.0618,0.0234,0.0384,19.8218,19.3044,20.3391,56.7493,19.9797,19.772,1.7361,109.1191,2.2973,True
2013-01-09,23.71,23.72,23.34,19.9066477415,719600.0,0.0636,0.0202,0.0434,19.8111,19.3102,20.3121,53.2685,19.9559,19.7765,-0.0842,86.4979,2.2973,True
2013-01-10,23.52,23.61,23.23,19.7878020833,432000.0,0.0547,0.0091,0.0457,19.7903,19.3229,20.2578,50.5336,19.927,19.7657,-1.3372,63.2199,3.3095,True
2013-01-11,23.31,23.44,23.22,19.7962910589,344200.0,0.0479,0.0018,0.0461,19.7759,19.3283,20.2235,50.7272,19.8999,19.7697,-1.9247,51.4602,3.402,True
2013-01-14,23.23,23.23,23.05,19.6350005228,429600.0,0.0291,-0.0136,0.0427,19.764,19.3148,20.2133,46.9838,19.8353,19.7527,-2.3539,15.4762,4.9741,False
2013-01-15,23.12,23.34,22.92,19.6859343763,794400.0,0.0181,-0.0197,0.0378,19.7696,19.327,20.2121,48.2753,19.7623,19.7442,-1.7677,17.3508,6.1617,False
2013-01-16,23.09,23.12,22.93,19.4991769135,330500.0,-0.0056,-0.0347,0.0291,19.7526,19.2961,20.209,44.0589,19.6808,19.7188,-1.3231,-9.0429,6.1617,False
2013-01-17,23.09,23.11,22.92,19.5925556449,369300.0,-0.0167,-0.0366,0.02,19.7347,19.2825,20.1869,46.5594,19.6418,19.7188,-1.785,-2.9857,6.2549,False
2013-01-18,23.03,23.18,22.885,19.6774454007,435800.0,-0.0184,-0.0307,0.0123,19.7318,19.2789,20.1847,48.7889,19.618,19.7442,-1.5711,4.9076,5.5089,False
2013-01-22,23.21,23.47,23.03,19.9066477415,653700.0,-0.0012,-0.0108,0.0096,19.7326,19.2785,20.1867,54.3041,19.6724,19.7872,-0.1701,47.7232,2.4777,False
2013-01-23,23.47,23.48,23.21,19.855713888,547800.0,0.0082,-0.0011,0.0093,19.7347,19.2787,20.1908,52.9465,19.7063,19.8161,0.5998,54.5361,2.3745,False
2013-01-24,23.31,23.57,23.15,19.9745595461,507300.0,0.0249,0.0125,0.0124,19.7394,19.2757,20.2032,55.7144,19.8014,19.8127,0.2552,64.1456,1.4401,True
2013-01-25,23.54,23.57,23.4,19.9236256926,455100.0,0.0337,0.017,0.0167,19.756,19.2907,20.2212,54.2491,19.8676,19.8121,0.2979,75.2884,1.4401,True
2013-01-28,23.45,23.59,23.32,19.8047800345,484300.0,0.0307,0.0112,0.0195,19.7814,19.3668,20.1961,50.9021,19.8931,19.8036,1.9006,60.0948,2.2602,True
2013-01-29,23.32,23.48,23.2,19.9236256926,636800.0,0.0375,0.0144,0.0231,19.8145,19.4718,20.1573,53.9464,19.8965,19.8014,2.5775,52.3893,3.4853,True
2013-01-30,23.48,23.48,23.14,19.6944233519,754500.0,0.0241,0.0008,0.0233,19.8281,19.5299,20.1264,47.8197,19.8642,19.7776,2.2648,28.0355,4.0965,True
2013-01-31,23.24,23.61,23.14,20.0085154485,813900.0,0.0384,0.0121,0.0263,19.8273,19.5312,20.1234,55.2772,19.871,19.7844,0.0424,62.2622,2.6639,True
2013-02-01,23.75,23.75,23.48,20.017004424,486700.0,0.0498,0.0188,0.031,19.8315,19.5272,20.1358,55.4615,19.8897,19.7997,0.338,94.5263,1.1396,True
2013-02-04,23.42,23.67,23.39,19.8981587659,478200.0,0.0487,0.0142,0.0346,19.8298,19.5274,20.1322,52.2324,19.9083,19.8065,0.3391,70.5547,2.09,True
2013-02-05,23.52,23.58,23.39,19.957581595,753600.0,0.0521,0.014,0.0381,19.8298,19.5274,20.1322,53.6772,19.9151,19.828,-0.1271,68.7642,2.09,True
2013-02-06,23.48,23.59,23.38,20.0000264729,401600.0,0.0575,0.0155,0.0419,19.8273,19.5316,20.123,54.7253,19.9763,19.8489,-1.5442,72.4094,2.09,True
2013-02-07,23.61,23.7,22.34,18.981349403,1383700.0,-0.0202,-0.0497,0.0295,19.781,19.3112,20.2508,34.5973,19.7708,19.8144,-0.0843,-108.6648,12.3323,False
2013-02-08,22.4,22.55,21.84,18.6587683308,1500000.0,-0.1066,-0.1089,0.0023,19.7246,19.0464,20.4027,30.7589,19.4992,19.7521,-4.4896,-269.6088,16.598,False
2013-02-11,22.03,22.39,21.9901,18.9049486227,1720500.0,-0.1534,-0.1246,-0.0288,19.68,18.915,20.445,36.5177,19.3005,19.7006,-4.4795,-239.4613,16.598,False
2013-02-12,22.28,22.48,22.28,18.9473935006,869600.0,-0.1849,-0.1249,-0.0601,19.6456,18.8165,20.4747,37.4783,19.0985,19.6367,-3.2286,-201.6922,15.5513,False
2013-02-13,22.3,22.44,22.21,19.0322832565,901700.0,-0.2008,-0.1126,-0.0882,19.6129,18.7422,20.4836,39.4419,18.9049,19.5818,-3.856,-200.056,16.1467,False
2013-02-14,22.4,22.6,22.3291,19.1001950611,764200.0,-0.2055,-0.0938,-0.1117,19.593,18.6949,20.491,41.0294,18.9287,19.5235,-2.2491,-174.6498,14.2741,False
2013-02-15,22.49,22.69,22.485,19.142639939,648300.0,-0.2034,-0.0734,-0.13,19.5705,18.6512,20.4897,42.0467,19.0255,19.4714,-1.8174,-151.1472,13.2298,False
2013-02-19,22.54,22.8,22.54,19.3378863774,931300.0,-0.1839,-0.0431,-0.1408,19.5535,18.6303,20.4768,46.5881,19.1121,19.4403,-1.6393,-119.7219,11.9581,False
2013-02-20,22.74,22.975,22.74,19.4227761333,816000.0,-0.1598,-0.0152,-0.1446,19.5293,18.6191,20.4396,48.4692,19.2072,19.4069,-2.1091,-80.7888,9.96,False
2013-02-21,22.83,22.91,22.61,19.3124194507,1305500.0,-0.1479,-0.0026,-0.1452,19.5021,18.6001,20.4042,46.2027,19.2632,19.3815,-2.4276,-101.1276,11.1578,False
