date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-05-20,4.18,4.2,4.07,4.1,35458600.0,0.3624,0.0374,0.3998,4.708,2.271,3.4895,68.4072,4.128,3.7767,67.3307,187.3004,20.6926,True
2013-05-21,4.15,4.2,3.95,4.02,36560500.0,0.3665,0.0165,0.383,4.7193,2.4087,3.564,65.6481,4.08,3.8567,64.7059,163.9137,17.9104,True
2013-05-22,4.08,4.1,3.91,3.96,28771500.0,0.3653,-0.0047,0.3607,4.7112,2.5518,3.6315,63.5872,3.996,3.906,56.4885,144.1906,16.9962,False
2013-05-23,3.81,4.05,3.79,4.01,33152600.0,0.3609,-0.0178,0.3431,4.6958,2.7002,3.698,64.58,4.032,3.946,48.8971,130.2784,14.2927,False
2013-05-24,4.03,4.06,3.97,4.05,20655600.0,0.3544,-0.0259,0.3285,4.6498,2.8872,3.7685,65.3889,4.028,3.976,51.4925,131.2149,14.4602,False
2013-05-28,4.13,4.15,4.02,4.05,19603800.0,0.3462,-0.0328,0.3134,4.5697,3.1043,3.837,65.3889,4.018,4.0053,53.7037,128.7077,15.9635,False
2013-05-29,4.01,4.05,3.96,3.98,16279300.0,0.3355,-0.043,0.2924,4.4612,3.3288,3.895,62.5206,4.01,4.0347,43.617,113.49,14.5981,False
2013-05-30,4.0,4.06,3.99,4.04,15229500.0,0.3239,-0.0464,0.2774,4.4124,3.4596,3.936,63.972,4.026,4.0487,23.7805,111.2001,14.7682,False
2013-05-31,4.07,4.11,3.99,4.0,17715000.0,0.311,-0.0516,0.2593,4.3765,3.5545,3.9655,62.2501,4.024,4.058,18.1034,106.1301,15.6227,False
2013-06-03,4.02,4.03,3.81,3.96,23938100.0,0.2966,-0.0576,0.239,4.3589,3.6081,3.9835,60.5053,4.006,4.0587,6.0526,91.2618,11.5291,False
2013-06-04,3.95,4.04,3.94,4.01,19612600.0,0.2821,-0.0578,0.2243,4.3375,3.6695,4.0035,61.9342,3.998,4.048,7.7333,93.5972,11.7057,False
2013-06-05,4.01,4.03,3.89,3.91,15404600.0,0.2662,-0.0638,0.2023,4.2846,3.7594,4.022,57.4779,3.984,4.0247,9.8392,84.5047,10.5832,False
2013-06-06,3.87,3.94,3.81,3.94,20863700.0,0.25,-0.0648,0.1852,4.2782,3.7768,4.0275,58.4391,3.964,3.9953,2.3377,76.6477,8.8043,False
2013-06-07,3.98,3.99,3.875,3.91,12026500.0,0.2334,-0.0662,0.1672,4.2749,3.7851,4.03,57.0572,3.946,4.0007,0.0,76.4191,9.7273,False
2013-06-10,3.95,4.08,3.92,4.06,32378100.0,0.2194,-0.0562,0.1632,4.2779,3.7931,4.0355,61.8855,3.966,4.0,2.7708,82.5025,11.3694,False
2013-06-11,4.0,4.11,3.96,3.96,20201200.0,0.2055,-0.0553,0.1502,4.2613,3.7887,4.025,57.2849,3.956,3.9907,-2.6066,78.5548,11.9126,False
2013-06-12,4.0,4.03,3.9,3.9,14600100.0,0.1911,-0.0576,0.1336,4.2229,3.7911,4.007,54.672,3.954,3.9827,-6.713,69.6288,10.5348,False
2013-06-13,3.9,3.96,3.87,3.95,14192300.0,0.1775,-0.0545,0.123,4.1181,3.8529,3.9855,56.4457,3.956,3.982,-10.4072,65.7642,9.8472,False
2013-06-14,3.98,4.04,3.91,3.94,14395600.0,0.1645,-0.052,0.1125,4.1052,3.8768,3.991,55.9764,3.962,3.9773,2.5381,67.027,11.3428,False
2013-06-17,4.12,4.14,4.015,4.05,31973300.0,0.1539,-0.0422,0.1117,4.1017,3.8783,3.99,59.9057,3.96,3.9773,1.0989,74.5861,13.1739,False
2013-06-18,4.1,4.11,4.05,4.09,22841700.0,0.1458,-0.0327,0.1131,4.0993,3.8797,3.9895,61.2532,3.986,3.98,-2.1429,73.724,13.1739,False
2013-06-19,4.15,4.18,4.04,4.07,24193500.0,0.1389,-0.0276,0.1113,4.1066,3.8774,3.992,60.1699,4.02,3.986,-0.4762,72.8512,14.453,False
2013-06-20,4.02,4.03,3.86,3.87,26704000.0,0.1296,-0.037,0.0926,4.1133,3.8617,3.9875,50.5849,4.004,3.9747,-1.7073,54.3059,10.2075,False
2013-06-21,3.97,4.04,3.9,4.0,32752000.0,0.1212,-0.0339,0.0873,4.1126,3.8614,3.987,55.5196,4.016,3.9747,-0.2469,58.3927,10.3952,False
2013-06-24,4.07,4.09,3.99,4.05,29135600.0,0.1142,-0.028,0.0861,4.1126,3.8614,3.987,57.2777,4.016,3.9807,0.7389,62.8582,11.3381,False
2013-06-25,4.11,4.15,4.06,4.15,26642400.0,0.1098,-0.0175,0.0922,4.1341,3.8499,3.992,60.6136,4.028,3.99,0.0,68.7338,12.4621,False
2013-06-26,4.2,4.21,4.1207,4.14,19841200.0,0.1068,-0.0117,0.0952,4.1558,3.8442,4.0,60.1107,4.042,4.0053,3.9506,70.8736,13.5763,False
2013-06-27,4.19,4.19,4.06,4.08,17426100.0,0.1038,-0.0122,0.0916,4.1608,3.8432,4.002,57.067,4.084,4.0147,3.202,64.7324,12.1083,False
2013-06-28,4.08,4.12,4.02,4.08,13329600.0,0.1006,-0.0129,0.0877,4.1684,3.8436,4.006,57.067,4.1,4.026,0.2433,59.6602,11.1455,False
2013-07-01,4.11,4.13,4.07,4.1,10712200.0,0.0975,-0.0122,0.0853,4.1789,3.8471,4.013,57.883,4.11,4.0287,2.4814,61.4588,11.3391,False
2013-07-02,4.09,4.12,3.95,3.97,17766600.0,0.0924,-0.0204,0.0721,4.178,3.844,4.011,51.1166,4.074,4.0293,1.9802,50.5529,8.4556,False
2013-07-03,4.0,4.07,3.955,4.06,11315900.0,0.0876,-0.0195,0.068,4.18,3.857,4.0185,55.0171,4.058,4.04,0.9926,51.1604,8.4556,False
