date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-11,21.24,21.265,20.62,18.2482776371,1957400.0,-0.2798,0.0572,-0.3371,18.0951,18.6948,19.2944,34.6909,18.7628,18.7985,-1.5347,-89.7774,25.7337,True
2012-06-12,20.69,20.76,20.45,18.1333417799,1666000.0,-0.3089,0.0225,-0.3314,18.0264,18.6727,19.3191,33.3456,18.6099,18.7714,-2.5236,-98.5366,26.6258,True
2012-06-13,20.39,20.51,20.08,17.8150578676,935700.0,-0.3536,-0.0177,-0.3359,17.8867,18.6335,19.3803,29.9049,18.3526,18.7242,-3.7425,-109.84,28.526,False
2012-06-14,20.18,20.18,19.93,17.6382334719,1911500.0,-0.3987,-0.0502,-0.3484,17.7237,18.5876,19.4514,28.1744,18.1068,18.6458,-4.8461,-116.6631,29.2811,False
2012-06-15,20.02,20.15,19.91,17.6647571313,2179300.0,-0.4273,-0.0631,-0.3642,17.6249,18.5624,19.4998,28.8362,17.8999,18.5669,-4.2414,-114.1863,29.3823,False
2012-06-18,20.04,20.08,19.77,17.6382334719,1586200.0,-0.447,-0.0662,-0.3808,17.5488,18.5434,19.5379,28.5543,17.7779,18.4867,-3.2755,-115.1855,30.0941,False
2012-06-19,20.0,20.29,20.0,17.71780445,1493400.0,-0.451,-0.0562,-0.3948,17.4446,18.5022,19.5599,30.7309,17.6948,18.3853,-3.2888,-104.9203,28.124,False
2012-06-20,20.08,20.275,19.92,17.7266456698,2255000.0,-0.4483,-0.0428,-0.4055,17.3523,18.4625,19.5726,30.9812,17.6771,18.2954,-3.8644,-104.455,28.5432,False
2012-06-21,20.12,20.22,19.47,17.222696142,1448900.0,-0.4812,-0.0606,-0.4206,17.1623,18.3829,19.6035,25.3801,17.594,18.1864,-4.9812,-119.8101,30.8503,False
2012-06-22,19.64,19.71,19.445,17.3111083399,2169900.0,-0.4945,-0.0591,-0.4354,17.0205,18.306,19.5914,27.8326,17.5233,18.0897,-7.8972,-124.9228,30.9762,False
2012-06-25,19.42,19.53,19.16,17.0105068672,1713200.0,-0.5233,-0.0703,-0.453,16.837,18.2145,19.5919,24.8565,17.3978,17.9795,-9.2472,-136.3605,32.4031,False
2012-06-26,19.22,19.32,18.95,16.851364911,1056400.0,-0.5525,-0.0796,-0.4729,16.6801,18.0951,19.5101,23.4352,17.2245,17.8431,-11.7405,-144.7925,33.4342,False
2012-06-27,19.09,19.4,19.08,16.9663007682,980800.0,-0.56,-0.0697,-0.4903,16.5682,17.9897,19.4111,26.6795,17.0724,17.7007,-10.434,-137.4158,32.6503,False
2012-06-28,19.05,19.22,18.95,16.8778885704,1337500.0,-0.5665,-0.0609,-0.5056,16.4492,17.8907,19.3321,25.7792,17.0034,17.5681,-10.8741,-143.5614,33.2979,False
2012-06-29,19.41,19.57,19.39,17.2403785816,1354100.0,-0.5362,-0.0245,-0.5117,16.4048,17.8146,19.2244,35.3611,16.9893,17.4708,-9.3562,-120.1831,29.8788,False
2012-07-02,19.56,19.6,19.2799,17.1608076035,858100.0,-0.5128,-0.0009,-0.5119,16.3588,17.7395,19.1201,34.3191,17.0193,17.3983,-8.6247,-121.7355,30.4495,False
2012-07-03,19.38,19.71,19.37,17.4260441971,427000.0,-0.4674,0.0356,-0.503,16.3869,17.6659,18.9448,40.5734,17.1343,17.3512,-8.6654,-109.2379,29.3796,True
2012-07-05,19.57,19.9,19.54,17.470250296,1074300.0,-0.4229,0.064,-0.487,16.4868,17.5843,18.6819,41.567,17.2351,17.3282,-8.2527,-98.6446,27.5422,True
2012-07-06,19.56,19.56,19.23,17.1696488233,924800.0,-0.4073,0.0637,-0.471,16.5608,17.4994,18.4381,37.0533,17.2934,17.297,-11.1717,-115.4227,29.2103,True
2012-07-09,19.32,19.41,18.9,16.9397771089,1138800.0,-0.4087,0.0498,-0.4586,16.621,17.4115,18.2019,34.026,17.2333,17.2486,-9.0014,-127.0103,30.9316,True
2012-07-10,19.27,19.35,18.79,16.6833817351,974700.0,-0.4257,0.0263,-0.452,16.5807,17.3332,18.0858,30.9994,17.1378,17.185,-9.0054,-132.0772,31.4963,True
2012-07-11,18.9,19.04,18.71,16.6568580757,2317600.0,-0.4362,0.0126,-0.4488,16.5467,17.2594,17.9721,30.6967,16.984,17.1142,-8.2852,-136.1625,31.908,True
2012-07-12,18.74,18.77,18.49,16.4358275811,1066900.0,-0.4571,-0.0066,-0.4505,16.4402,17.1904,17.9407,28.2355,16.7771,17.0282,-8.4837,-146.1511,33.0335,False
2012-07-13,18.66,18.87,18.605,16.5949695372,1976400.0,-0.4556,-0.0041,-0.4515,16.3749,17.1383,17.9017,32.4158,16.6622,16.9863,-6.4916,-133.2701,32.0247,False
2012-07-16,18.75,18.81,18.19,16.2059558667,2051200.0,-0.4802,-0.023,-0.4572,16.2408,17.0653,17.8899,28.125,16.5154,16.9127,-6.6501,-146.4138,34.1327,False
2012-07-17,18.34,18.7,17.99,16.3650978228,3488000.0,-0.4814,-0.0193,-0.4621,16.1673,17.0017,17.836,32.0664,16.4517,16.8696,-6.8725,-143.4647,35.1188,False
2012-07-18,18.44,19.43,18.41,16.9309358891,2173100.0,-0.4316,0.0244,-0.456,16.1953,16.9623,17.7294,43.8054,16.5066,16.8749,-4.2385,-102.7497,28.0056,True
2012-07-19,19.19,19.51,19.16,17.2138549222,1200500.0,-0.3652,0.0726,-0.4378,16.2428,16.9367,17.6306,48.5666,16.6622,16.8914,-3.7731,-76.1807,27.259,True
2012-07-20,19.42,19.565,19.12,16.9132534495,1454200.0,-0.3329,0.0839,-0.4168,16.2398,16.9212,17.6026,44.2943,16.7258,16.8938,-3.2394,-80.2524,26.7421,True
2012-07-23,18.86,19.22,18.55,16.9574595484,1266900.0,-0.3004,0.0932,-0.3935,16.2456,16.9035,17.5615,45.0558,16.8761,16.8749,-2.486,-95.8073,29.7492,True
2012-07-24,19.13,19.14,18.88,16.8867297902,1524700.0,-0.277,0.0932,-0.3702,16.2412,16.8973,17.5535,44.0241,16.9804,16.8567,-1.9969,-89.232,29.7492,True
2012-07-25,19.14,19.36,18.96,17.0370305265,2657500.0,-0.2436,0.1013,-0.3449,16.2481,16.9066,17.5652,46.7979,17.0017,16.8307,0.207,-76.3153,27.6576,True
