date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-02,38.82,39.06,38.75,39.0,360300.0,0.1329,-0.3584,-0.4913,40.4148,38.4695,36.5242,51.4256,38.352,38.0987,-6.286,-17.3879,1.0315,True
2012-05-03,38.95,39.3,38.37,38.5,212600.0,0.1342,-0.3236,-0.4578,40.0443,38.364,36.6837,47.9217,38.62,38.0873,-4.0293,-29.1995,0.4784,True
2012-05-04,38.22,38.22,37.63,37.85,208500.0,0.0906,-0.3445,-0.4351,39.655,38.238,36.821,43.768,38.66,38.0727,-6.2086,-75.3758,3.3393,True
2012-05-07,37.55,37.82,37.18,37.59,191000.0,0.0459,-0.3777,-0.4237,39.3713,38.127,36.8827,42.2004,38.42,38.0387,-5.213,-93.9326,5.0276,True
2012-05-08,37.05,37.86,37.01,37.82,280000.0,0.0341,-0.3811,-0.4151,39.3167,38.087,36.8573,44.0981,38.152,37.952,-5.1603,-89.0392,5.6606,True
2012-05-09,37.31,37.8,37.17,37.67,63000.0,0.0191,-0.3913,-0.4104,39.2727,38.0455,36.8183,43.1091,37.886,37.93,-2.7027,-87.4558,5.6606,True
2012-05-10,37.9,37.95,37.52,37.64,123000.0,0.0105,-0.3973,-0.4078,39.1983,37.994,36.7897,42.9029,37.714,37.942,-2.6424,-77.7574,5.0218,True
2012-05-11,37.38,37.92,37.38,37.54,56900.0,0.0019,-0.4054,-0.4073,39.1871,37.9675,36.7479,42.1823,37.652,37.9147,-2.1419,-81.0593,5.5637,True
2012-05-14,37.16,37.2,36.73,36.89,120200.0,-0.0414,-0.459,-0.4176,39.2114,37.907,36.6026,37.7652,37.512,37.8873,-3.4017,-114.3318,8.041,False
2012-05-15,36.97,37.38,36.4,37.07,169000.0,-0.051,-0.4814,-0.4304,39.0314,37.8045,36.5776,39.6405,37.362,37.88,-5.0305,-110.6023,9.2698,False
2012-05-16,37.13,37.68,37.02,37.1,211800.0,-0.0485,-0.4911,-0.4425,39.02,37.7595,36.499,39.9636,37.248,37.8287,-3.853,-91.6354,7.9364,False
2012-05-17,37.2,37.32,36.61,36.65,127400.0,-0.0691,-0.5289,-0.4598,39.0646,37.719,36.3734,36.7983,37.05,37.7947,-1.8927,-111.0968,9.4718,False
2012-05-18,36.83,36.83,35.87,35.97,136800.0,-0.1176,-0.6068,-0.4892,39.1603,37.62,36.0797,32.6158,36.736,37.6827,-3.5864,-140.1216,12.1606,False
2012-05-21,34.78,35.38,34.37,35.02,233500.0,-0.198,-0.7367,-0.5387,39.417,37.506,35.595,27.8736,36.362,37.4313,-5.6785,-196.1969,17.2284,False
2012-05-22,35.02,35.22,34.53,34.65,184000.0,-0.2567,-0.8596,-0.6029,39.6594,37.3795,35.0996,26.2792,35.878,37.1307,-6.0048,-192.0903,17.2284,False
