date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-23,41.0,41.25,40.57,41.08,1819500.0,0.8679,1.169,0.3011,34.6917,42.5833,38.6375,66.1452,41.276,38.9207,7.7023,122.7834,18.4025,True
2012-03-26,41.11,42.4,41.01,42.37,2738100.0,0.9483,1.2702,0.3218,34.6017,43.1083,38.855,71.1005,41.47,39.302,11.1402,146.1935,21.1278,True
2012-03-27,42.14,42.6,41.89,42.19,3371500.0,1.0228,1.3206,0.2978,34.5941,43.5359,39.065,69.578,41.688,39.7333,11.2562,151.9428,21.591,True
2012-03-28,42.01,42.41,41.465,41.9,2652300.0,1.0826,1.3219,0.2393,34.67,43.865,39.2675,67.0978,41.728,40.1227,10.3852,141.2369,20.0673,True
2012-03-29,41.62,42.24,41.28,42.04,3138400.0,1.1299,1.3191,0.1892,34.76,44.18,39.47,67.6934,41.916,40.4907,9.6573,136.378,19.4049,True
2012-03-30,42.18,42.5,41.87,42.32,2322500.0,1.1688,1.3242,0.1554,34.9984,44.4646,39.7315,68.8999,42.164,40.858,12.1372,144.8922,20.0354,True
2012-04-02,41.38,42.37,41.226,42.34,2794300.0,1.1979,1.3146,0.1167,35.3749,44.6571,40.016,68.9886,42.158,41.236,14.2356,135.4377,17.7158,True
2012-04-03,42.06,42.69,42.02,42.39,2641800.0,1.2176,1.2962,0.0786,36.0447,44.6543,40.3495,69.2235,42.198,41.484,17.1836,145.0698,18.5115,True
2012-04-04,41.74,41.95,41.4307,41.75,2952500.0,1.2172,1.2159,-0.0014,36.7714,44.4966,40.634,62.7082,42.168,41.644,15.6284,122.2763,16.4034,False
2012-04-05,40.88,41.535,40.3,41.44,3449700.0,1.1967,1.1144,-0.0823,37.5003,44.2597,40.88,59.7878,42.048,41.7347,13.267,99.9214,12.4987,False
2012-04-09,40.7,40.9,40.44,40.54,2114300.0,1.1474,0.9504,-0.197,38.2392,43.8938,41.0665,52.2227,41.692,41.7107,9.8576,82.058,12.4987,False
2012-04-10,40.39,40.65,39.33,39.44,3162700.0,1.0626,0.7233,-0.3393,39.0649,43.3451,41.205,44.7995,41.112,41.58,10.615,52.3136,8.7936,False
2012-04-11,40.15,40.15,39.39,39.62,3518900.0,0.9604,0.5515,-0.4089,39.3062,43.1988,41.2525,46.1417,40.558,41.4813,3.5862,46.4529,8.7936,False
2012-04-12,39.83,40.7,39.66,40.46,1971700.0,0.8638,0.4777,-0.3862,39.5254,43.0906,41.308,51.9799,40.3,41.3987,2.6738,62.8867,10.3073,False
2012-04-13,40.33,41.34,40.28,41.25,3304300.0,0.7865,0.4774,-0.3092,39.6745,43.0585,41.3665,56.7085,40.262,41.4087,2.8102,84.1567,12.0349,False
2012-04-16,41.47,41.77,40.46,41.09,3078900.0,0.721,0.4589,-0.2621,39.6925,43.0595,41.376,55.5221,40.372,41.4093,1.5314,86.1925,13.1776,False
2012-04-17,41.35,42.0,41.35,41.8,1931500.0,0.676,0.4959,-0.1801,39.7023,43.0897,41.396,59.5461,40.844,41.3713,0.8646,104.2527,13.7868,False
