date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-03,53.46,55.0,53.2738,53.2913961922,423500.0,-0.0944,-0.1057,-0.2002,50.7449,53.1156,55.4863,51.0601,52.1824,53.2194,6.1571,16.6014,11.8965,False
2012-04-04,53.04,53.34,51.15,51.2615306739,392400.0,-0.1381,-0.1745,-0.3125,50.7878,53.1255,55.4633,44.3987,52.1368,53.0353,2.8935,-55.9955,8.5161,False
2012-04-05,51.47,52.318,51.07,51.7071109096,224000.0,-0.1827,-0.1787,-0.3614,50.6447,53.0627,55.4806,46.0539,52.2081,52.7956,-2.3007,-71.7255,8.3907,False
2012-04-09,50.78,50.84,47.54,48.9346116652,833600.0,-0.2695,-0.3472,-0.6168,49.8993,52.8993,55.8993,38.4274,51.6873,52.3963,-6.2684,-173.3188,3.0459,False
2012-04-10,49.15,49.35,45.55,45.8155500151,1021300.0,-0.4273,-0.6313,-1.0586,48.2301,52.5235,56.817,32.0333,50.202,51.8603,-10.1584,-256.3705,0.2129,False
2012-04-11,46.96,49.06,46.72,48.5682456936,902700.0,-0.5765,-0.5966,-1.1731,47.7051,52.2289,56.7528,41.2733,49.2574,51.517,-11.1875,-209.6768,0.2129,False
2012-04-12,49.44,50.44,49.13,49.2217633726,230000.0,-0.7007,-0.4967,-1.1974,47.3629,51.9888,56.6147,43.2362,48.8495,51.2483,-8.7057,-152.1054,2.1424,False
2012-04-13,49.4,49.4,48.07,47.9939422786,191700.0,-0.8207,-0.48,-1.3007,46.9478,51.6234,56.2991,40.5105,48.1068,50.9618,-11.9273,-187.0466,0.6226,False
2012-04-16,48.67,49.0,47.54,47.3404245996,470800.0,-0.9403,-0.4786,-1.4189,46.4719,51.2442,56.0165,39.1046,47.788,50.6351,-12.5,-193.4741,0.133,False
2012-04-17,48.26,49.89,48.26,48.8950045331,286600.0,-1.0265,-0.3448,-1.3713,46.2772,50.9962,55.7152,44.0531,48.4039,50.2707,-10.4148,-148.8797,1.1348,False
2012-04-18,49.45,49.73,48.83,48.7959867029,217800.0,-1.0865,-0.2399,-1.3263,46.1118,50.7501,55.3884,43.8102,48.4494,49.9631,-8.7489,-140.3633,1.1348,False
2012-04-19,49.48,51.06,49.23,49.6079329102,452600.0,-1.1114,-0.0998,-1.2112,46.0523,50.5679,55.0835,46.407,48.5267,49.8377,-6.6886,-108.9211,3.0321,False
