date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-30,68.25,68.28,67.76,52.3895817734,8117900.0,1.2456,1.3151,0.0694,47.2557,50.5023,53.7489,75.5016,52.5266,51.2414,8.8301,144.5235,26.4382,True
2012-04-02,68.25,68.83,67.5,52.5897182891,10440400.0,1.2563,1.2992,0.0428,47.6215,50.7413,53.8611,76.5059,52.485,51.4707,10.4461,143.8288,27.7776,True
2012-04-03,68.41,68.77,67.73,52.4434646814,10812400.0,1.2571,1.2603,0.0031,48.2004,50.9942,53.788,74.1266,52.4296,51.6391,10.1201,138.9863,27.7776,True
2012-04-04,67.34,67.71,66.8386,51.8738453674,10898900.0,1.2397,1.17,-0.0697,48.6527,51.1739,53.6952,65.6119,52.3172,51.7561,7.5616,115.6682,23.9936,False
2012-04-05,67.31,67.6,67.07,51.7198942015,15585300.0,1.2065,1.0736,-0.1328,49.055,51.3229,53.5908,63.4998,52.2033,51.8577,6.2225,111.6606,23.9936,False
2012-04-09,66.12,67.7667,65.58,51.1887626789,9976300.0,1.1539,0.9436,-0.2103,49.3686,51.4218,53.475,56.7472,51.9631,51.9136,5.4242,93.5343,17.9551,False
2012-04-10,66.68,67.095,66.07,50.9732310466,17300900.0,1.0859,0.8137,-0.2722,49.7272,51.513,53.2989,54.2394,51.6398,51.8864,4.5256,86.8825,17.9551,False
2012-04-11,66.92,67.5,66.1,50.9770798258,11825700.0,1.0093,0.703,-0.3063,49.9145,51.5659,53.2174,54.2781,51.3466,51.8595,4.0222,86.8619,19.0631,False
2012-04-12,66.52,68.57,66.32,52.5974158474,15714300.0,0.9549,0.7375,-0.2174,50.1215,51.6899,53.2582,66.8936,51.4913,51.957,4.5912,108.5798,21.897,False
2012-04-13,68.0,68.13,66.59,51.31962117,15743500.0,0.8948,0.6542,-0.2406,50.322,51.7461,53.1701,54.247,51.4112,51.9765,4.0311,91.0158,21.897,False
2012-04-16,67.34,67.5,65.53,50.9963237215,16189600.0,0.827,0.5557,-0.2713,50.4569,51.7784,53.0999,51.6023,51.3727,51.9542,2.865,71.9063,17.6757,False
2012-04-17,66.77,67.88,66.43,51.7506844347,14001700.0,0.768,0.5323,-0.2357,50.4879,51.7969,53.1059,56.8602,51.5282,51.8844,1.3134,86.2415,18.7021,False
