date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-03,18.1,18.13,17.85,13.1411747253,5437700.0,0.0755,0.0725,0.003,13.207,13.6763,12.7376,47.7086,13.4249,13.2842,0.8904,42.8173,1.4008,True
2012-05-04,17.76,17.815,17.62,13.00888102,5477700.0,0.045,0.067,-0.022,13.1989,13.676,12.7218,44.8411,13.297,13.2911,-2.1154,-22.6852,3.617,False
2012-05-07,17.71,17.84,17.57,12.9353845171,7465800.0,0.0147,0.0566,-0.0418,13.197,13.6779,12.7162,43.2922,13.1823,13.2847,0.3375,-34.1919,4.0936,False
2012-05-08,17.5,17.61,17.345,12.8765873147,7089400.0,-0.0138,0.0425,-0.0563,13.2044,13.6603,12.7485,42.0474,13.0486,13.2597,-0.4522,-82.8922,6.2158,False
2012-05-09,17.37,17.38,17.2,12.6487481556,9025700.0,-0.0542,0.0231,-0.0774,13.1912,13.6931,12.6892,37.5629,12.9222,13.2338,-1.1939,-140.4493,7.5563,False
2012-05-10,17.44,17.44,17.19,12.7001957077,7395800.0,-0.0812,0.0023,-0.0834,13.1717,13.7163,12.6271,39.1334,12.834,13.1961,-2.1324,-127.0292,6.9132,False
2012-05-11,17.15,17.36,17.1,12.582601303,7387500.0,-0.1107,-0.0203,-0.0904,13.1555,13.7478,12.5632,36.8626,12.7487,13.1529,-2.4171,-150.8077,7.7546,False
2012-05-14,17.0,17.42,17.0,12.7295943089,7470900.0,-0.1209,-0.0404,-0.0804,13.1404,13.7594,12.5215,41.4155,12.7075,13.1221,-2.0247,-131.9429,8.6871,False
2012-05-15,17.29,17.49,17.14,12.6193495544,4975300.0,-0.1363,-0.0596,-0.0767,13.1088,13.7653,12.4524,39.1471,12.6561,13.0785,-3.3702,-121.0622,7.9106,False
2012-05-16,17.27,17.4,17.09,12.5605523521,5134000.0,-0.1514,-0.078,-0.0735,13.0849,13.7834,12.3865,37.959,12.6385,13.0153,-3.01,-132.6049,8.3861,False
2012-05-17,17.11,17.12,16.79,12.3400628433,5385400.0,-0.1792,-0.0982,-0.081,13.0386,13.8026,12.2747,33.8335,12.5664,12.9418,-5.4144,-188.783,11.1842,False
