date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-04-15,34.98,35.54,34.64,34.94,740400.0,0.4175,0.2014,-0.2161,35.4845,34.3512,36.6178,49.1909,35.346,35.5047,-5.8543,46.4354,3.3077,False
2013-04-16,35.04,36.94,34.95,36.35,1439100.0,0.387,0.2648,-0.1222,35.5205,34.3268,36.7142,57.592,35.464,35.5247,0.8188,69.3279,6.7955,False
2013-04-17,35.83,36.09,34.98,35.63,693600.0,0.3604,0.2541,-0.1063,35.579,34.4888,36.6692,52.8143,35.42,35.4907,0.1665,55.0275,6.7955,False
2013-04-18,35.81,36.51,35.46,36.07,1248100.0,0.3439,0.2778,-0.066,35.6445,34.6026,36.6864,55.2452,35.636,35.4813,3.0192,64.3525,7.827,False
2013-04-19,36.31,37.85,36.11,36.29,1629200.0,0.3373,0.3108,-0.0264,35.659,34.59,36.728,56.4473,35.856,35.4873,4.6447,81.2596,11.0221,False
2013-04-22,36.27,36.87,35.99,36.67,903100.0,0.3425,0.3635,0.021,35.679,34.5517,36.8063,58.5096,36.202,35.5833,1.0414,73.0381,10.6727,True
2013-04-23,37.0,38.38,36.85,37.33,1934600.0,0.3647,0.4532,0.0886,35.743,34.4118,37.0742,61.8695,36.398,35.6913,5.1219,97.4441,14.1307,True
2013-04-24,37.51,38.21,37.42,37.62,1159800.0,0.4,0.5415,0.1415,35.817,34.2603,37.3737,63.2698,36.796,35.8973,5.0158,100.8347,14.1307,True
2013-04-25,40.46,43.99,39.76,43.39,6029700.0,0.533,1.0648,0.5318,36.176,32.5226,39.8294,79.3984,38.26,36.4533,19.8964,217.493,25.5411,True
2013-04-26,43.1,43.3,41.85,42.51,2807700.0,0.7049,1.3924,0.6876,36.4915,31.9119,41.0711,74.0827,39.504,36.9427,16.2728,216.317,25.5411,True
2013-04-29,42.4,43.01,42.07,42.09,1030100.0,0.8839,1.5998,0.7159,36.8345,31.6913,41.9777,71.6304,40.588,37.3787,17.8518,208.6092,25.5411,True
2013-04-30,41.96,41.97,40.27,40.96,1779900.0,1.0378,1.6538,0.616,37.097,31.6815,42.5125,65.3907,41.314,37.7253,16.3894,172.3026,20.3052,True
2013-05-01,40.75,40.77,38.6499,38.8,2944600.0,1.1313,1.505,0.3738,37.3105,31.9806,42.6404,55.4908,41.55,37.922,13.8509,124.469,15.8815,True
2013-05-02,39.71,40.17,38.7,39.14,1312000.0,1.1847,1.3984,0.2137,37.515,32.2341,42.7959,56.599,40.7,38.1987,14.3142,120.4842,15.8815,True
2013-05-03,39.73,41.0,38.69,40.95,1527200.0,1.2364,1.4434,0.2069,37.804,32.4362,43.1718,61.9959,40.388,38.5827,16.4773,143.5545,17.489,True
