date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-12-21,3.09,3.1,2.895,3.03,303500.0,0.0651,0.0069,0.0582,2.914,3.4017,2.4263,50.8504,3.218,2.986,11.5108,-27.5388,3.2566,True
2012-12-24,3.0,3.12,2.9401,3.09,33500.0,0.0636,0.0183,0.0453,2.928,3.419,2.437,52.2719,3.166,2.9933,9.0909,-18.6985,3.0295,True
2012-12-26,3.08,3.13,2.93,3.03,64500.0,0.0569,0.026,0.0309,2.944,3.4263,2.4617,50.7007,3.096,3.0033,9.4406,-18.481,3.1389,True
2012-12-27,3.08,3.97,3.08,3.51,373400.0,0.0893,0.0386,0.0506,2.9905,3.5019,2.4791,60.8002,3.162,3.0507,45.9559,59.1474,5.8463,True
2012-12-28,3.52,3.64,3.35,3.6,249200.0,0.1208,0.0551,0.0657,3.0405,3.584,2.497,62.3497,3.252,3.1093,31.4079,63.0965,5.8463,True
2012-12-31,3.57,3.8299,3.5131,3.65,189400.0,0.1481,0.0737,0.0744,3.0835,3.6748,2.4922,63.2152,3.376,3.1747,35.3322,85.7698,7.7257,True
2013-01-02,3.87,3.89,3.69,3.79,234600.0,0.179,0.0947,0.0842,3.124,3.7879,2.4601,65.5883,3.516,3.258,25.89,106.9899,8.3147,True
2013-01-03,3.84,3.88,3.66,3.73,155400.0,0.1963,0.1151,0.0813,3.1665,3.8702,2.4628,63.7012,3.656,3.3127,25.5663,102.3012,7.9649,True
2013-01-04,3.76,3.98,3.7,3.9,221200.0,0.2213,0.1363,0.085,3.2215,3.9723,2.4707,66.617,3.734,3.3707,29.2208,118.0616,8.9617,True
2013-01-07,3.9,3.9,3.64,3.75,202300.0,0.2263,0.1543,0.072,3.273,4.0205,2.5255,61.9152,3.764,3.424,18.1818,101.768,8.2463,True
2013-01-08,3.8,3.81,3.7016,3.71,68400.0,0.2245,0.1683,0.0562,3.325,4.0415,2.6085,60.6914,3.776,3.4567,27.0,96.0733,8.2463,True
2013-01-09,3.81,3.81,3.6,3.75,134500.0,0.2237,0.1794,0.0443,3.3855,4.0271,2.7439,61.5066,3.768,3.4833,42.6966,89.736,7.016,True
2013-01-10,3.74,3.8,3.69,3.72,98800.0,0.2182,0.1872,0.031,3.426,4.0442,2.8078,60.4984,3.766,3.506,29.6928,89.4868,7.016,True
2013-01-11,3.72,3.82,3.67,3.78,115700.0,0.2161,0.193,0.0231,3.4635,4.072,2.855,61.8388,3.742,3.546,12.6844,91.1667,7.016,True
2013-01-14,3.8,3.83,3.7206,3.78,117000.0,0.212,0.1968,0.0153,3.505,4.0801,2.9299,61.8388,3.748,3.588,23.1511,94.1571,7.1253,True
2013-01-15,3.78,3.915,3.7501,3.84,96400.0,0.2112,0.1997,0.0115,3.536,4.1131,2.9589,63.2697,3.774,3.642,16.5179,102.0791,8.0592,True
2013-01-16,3.87,3.89,3.81,3.85,48300.0,0.2089,0.2015,0.0074,3.561,4.147,2.975,63.514,3.794,3.6927,14.7493,103.4499,8.0592,True
