date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-30,32.02,32.09,31.85,25.4371048214,8635400.0,-0.1645,-0.006,-0.1585,24.9189,26.2224,25.5707,46.3768,25.3343,25.5061,-4.8356,-87.7474,2.1174,False
2012-05-01,31.64,32.045,31.63,25.3654285711,8224900.0,-0.1645,-0.0048,-0.1597,24.9704,26.0731,25.5217,45.4897,25.4388,25.5235,-3.5753,-97.979,0.9264,False
2012-05-02,31.65,32.15,31.61,25.5565652385,9121700.0,-0.1473,0.0099,-0.1572,24.9744,26.0422,25.5083,48.3145,25.4849,25.5381,-2.6474,-82.5194,1.4841,True
2012-05-03,32.13,32.2,31.37,24.9990832919,11499800.0,-0.1767,-0.0156,-0.1611,24.9061,26.0627,25.4844,41.5809,25.3957,25.488,0.1588,-112.6278,0.1734,False
2012-05-04,31.01,31.1,30.48,24.3619610672,11574300.0,-0.2485,-0.0699,-0.1786,24.6701,26.1635,25.4168,35.5193,25.144,25.4126,-4.2405,-209.1383,4.479,False
2012-05-07,30.48,30.93,30.48,24.3778891228,8321900.0,-0.3006,-0.0977,-0.203,24.4901,26.2352,25.3626,35.7701,24.9322,25.3375,-3.7022,-205.3337,4.479,False
2012-05-08,30.36,30.71,29.94,24.3938171784,10458600.0,-0.3368,-0.1071,-0.2297,24.3624,26.2918,25.3271,36.0366,24.7379,25.2326,-4.6529,-219.1349,7.1839,False
2012-05-09,30.31,30.73,29.98,24.369925095,12219000.0,-0.3632,-0.1068,-0.2564,24.2278,26.3296,25.2787,35.7979,24.5005,25.1292,-3.9948,-205.7477,7.0697,False
2012-05-10,30.69,30.87,30.34,24.5132775955,9853800.0,-0.3683,-0.0895,-0.2788,24.1389,26.2948,25.2169,38.4208,24.4034,25.0397,-4.686,-172.8585,6.2637,False
2012-05-11,30.66,31.29,30.66,24.4814214843,7204600.0,-0.3707,-0.0735,-0.2972,24.0507,26.2819,25.1663,38.0506,24.4273,24.9569,-4.0961,-143.5485,3.8782,False
2012-05-14,30.47,30.8,30.27,24.3938171784,5845100.0,-0.3753,-0.0625,-0.3128,23.958,26.2635,25.1108,37.0004,24.4305,24.899,-5.1933,-168.8348,5.8736,False
2012-05-15,30.64,30.845,30.22,24.1230402329,5245900.0,-0.3962,-0.0667,-0.3295,23.8597,26.1774,25.0185,33.9017,24.3763,24.851,-5.5464,-172.7363,6.1276,False
2012-05-16,30.35,30.56,29.93,23.8602273152,6847600.0,-0.4291,-0.0797,-0.3494,23.7297,26.1013,24.9155,31.1856,24.2744,24.7533,-6.5898,-192.0416,7.5987,False
2012-05-17,30.01,30.08,29.28,23.3744216189,8167400.0,-0.4887,-0.1114,-0.3773,23.5099,26.0729,24.7914,26.915,24.0466,24.6152,-8.7231,-230.7896,10.7855,False
2012-05-18,29.5,29.54,28.64,22.8806518947,9441700.0,-0.5692,-0.1535,-0.4156,23.1938,26.1048,24.6493,23.4222,23.7264,24.4326,-10.1447,-264.219,13.7635,False
2012-05-21,28.83,29.51,28.6,23.4779539804,7392200.0,-0.5781,-0.13,-0.4481,23.0482,26.0719,24.5601,34.4479,23.5433,24.302,-8.0378,-230.2193,13.9461,False
2012-05-22,29.51,29.51,29.13,23.3823856467,5783200.0,-0.5862,-0.1104,-0.4757,22.8978,26.0763,24.487,33.6181,23.3951,24.1698,-9.4137,-205.524,13.9461,False
2012-05-23,29.08,29.19,28.59,23.2071770349,8100000.0,-0.5998,-0.0992,-0.5005,22.7478,26.0143,24.3811,32.0993,23.2645,24.0131,-8.2385,-218.0204,16.4167,False
2012-05-24,29.18,29.27,28.68,23.0080763397,8393000.0,-0.6195,-0.0951,-0.5243,22.5983,25.9202,24.2592,30.4258,23.1912,23.8804,-8.5312,-204.7345,15.9153,False
2012-05-25,28.9,29.14,28.78,23.0478964787,4862100.0,-0.6247,-0.0803,-0.5444,22.5134,25.7479,24.1306,31.1945,23.2247,23.7928,-9.5452,-189.3747,15.9153,False
2012-05-29,29.13,29.39,28.99,23.3823856467,6523900.0,-0.5949,-0.0404,-0.5545,22.4969,25.5588,24.0279,37.4177,23.2056,23.7264,-8.4138,-158.6087,14.324,False
2012-05-30,29.02,29.13,28.84,23.0558605065,5076300.0,-0.5909,-0.0291,-0.5618,22.4558,25.369,23.9124,34.1839,23.1403,23.6372,-9.0966,-164.2851,15.0357,False
2012-05-31,28.81,28.87,28.3,22.6815511995,9772300.0,-0.6109,-0.0393,-0.5716,22.4265,25.1108,23.7686,30.9036,23.0352,23.5247,-10.2022,-176.2508,17.5433,False
2012-06-01,28.09,28.14,26.97,21.5028750838,19508700.0,-0.7136,-0.1136,-0.6,22.0436,25.144,23.5938,23.3453,22.7341,23.324,-12.6087,-223.2785,23.2191,False
2012-06-04,27.03,27.29,26.77,21.5745513341,8815100.0,-0.7802,-0.1442,-0.6361,21.7158,25.1931,23.4545,24.5476,22.4394,23.1302,-12.2508,-220.5277,24.0189,False
2012-06-05,27.04,27.64,27.04,21.8811664047,10820200.0,-0.7991,-0.1304,-0.6687,21.5172,25.1421,23.3296,29.6082,22.1392,22.9627,-10.6369,-188.6552,21.7617,False
2012-06-06,27.72,28.63,27.57,22.7731375193,13390200.0,-0.7336,-0.0519,-0.6816,21.4896,25.0076,23.2486,41.7791,22.0827,22.8727,-6.773,-138.2147,15.704,False
2012-06-07,28.89,29.01,28.11,22.4824505043,11843700.0,-0.6971,-0.0124,-0.6847,21.4441,24.8643,23.1542,39.4004,22.0428,22.7808,-5.5971,-123.0369,13.4998,False
2012-06-08,28.07,28.55,27.99,22.7134073107,6729200.0,-0.6421,0.0341,-0.6762,21.4637,24.6647,23.0642,42.2017,22.2849,22.7368,-7.5154,-121.0253,14.0258,True
2012-06-11,28.64,28.8,27.62,22.0205368914,7862600.0,-0.647,0.0233,-0.6704,21.419,24.4634,22.9412,36.7423,22.3741,22.6794,-7.9578,-128.6849,15.6343,True
2012-06-12,27.84,28.41,27.72,22.4904145321,9531000.0,-0.606,0.0515,-0.6575,21.4678,24.2242,22.846,42.1774,22.496,22.6136,-7.7597,-119.0713,15.6343,True
2012-06-13,28.08,28.17,27.7,22.1559253641,10268700.0,-0.5937,0.0511,-0.6447,21.471,24.0243,22.7477,39.5834,22.3725,22.5318,-8.6724,-123.2754,15.7225,True
2012-06-14,27.93,28.015,27.39,22.0842491138,7856900.0,-0.5829,0.0494,-0.6324,21.4593,23.8584,22.6589,39.0323,22.2929,22.457,-8.3279,-125.5697,17.0879,True
2012-06-15,27.91,28.0,27.66,22.1877814754,13562600.0,-0.5596,0.0582,-0.6178,21.4305,23.7686,22.5995,40.3183,22.1878,22.4023,-6.9149,-115.935,17.0879,True
2012-06-18,27.76,28.22,27.65,22.3152059203,6562400.0,-0.5248,0.0744,-0.5992,21.4034,23.7391,22.5712,41.9335,22.2467,22.3534,-4.4685,-106.8577,15.712,True
2012-06-19,28.2,28.36,28.0,22.5143066155,7403100.0,-0.4757,0.0988,-0.5745,21.4318,23.6143,22.5231,44.4503,22.2515,22.2956,-3.897,-93.4672,14.8386,True
2012-06-20,28.38,28.55,28.06,22.7293353664,7764200.0,-0.4146,0.1279,-0.5425,21.467,23.5138,22.4904,47.1034,22.3662,22.2738,-3.2531,-83.5404,13.6547,True
2012-06-21,28.61,28.61,27.52,21.9767347384,8264100.0,-0.4221,0.0964,-0.5184,21.4378,23.42,22.4289,39.9487,22.3447,22.2268,-1.987,-98.8,16.1531,True
2012-06-22,27.75,28.13,27.57,22.3390980037,7851600.0,-0.3942,0.0994,-0.4936,21.4403,23.3506,22.3954,44.3122,22.3749,22.2826,-3.8948,-94.7923,16.1531,True
2012-06-25,27.71,27.78,26.94,21.4829650143,7081800.0,-0.4362,0.0459,-0.4821,21.3327,23.3017,22.3172,37.4277,22.2085,22.2764,-4.6671,-117.5376,18.9815,True
2012-06-26,26.98,27.12,26.61,21.5267671672,7518600.0,-0.4606,0.0172,-0.4778,21.3118,23.137,22.2244,37.9561,22.011,22.2528,-7.7237,-125.132,20.4117,True
2012-06-27,27.07,27.33,26.93,21.5586232785,5618900.0,-0.4719,0.0047,-0.4766,21.2773,23.0218,22.1496,38.3617,21.7768,22.1719,-6.1792,-113.4545,19.0517,True
2012-06-28,26.94,27.0,26.55,21.3993427223,5903200.0,-0.4882,-0.0092,-0.4789,21.1908,22.98,22.0854,37.0637,21.6614,22.0996,-6.4773,-120.9694,20.6999,False
2012-06-29,27.4,28.7,27.39,22.8487957835,14743000.0,-0.3797,0.0794,-0.4591,21.2412,23.0642,22.1527,52.676,21.7633,22.1087,1.99,-61.7503,10.467,True
2012-07-02,28.69,28.79,28.105,22.5222706433,6992600.0,-0.3164,0.1142,-0.4306,21.3156,23.0846,22.2001,49.7002,21.9712,22.1421,5.4965,-54.6841,9.9651,True
2012-07-03,28.21,28.56,28.13,22.745263422,3545100.0,-0.2454,0.1481,-0.3935,21.3411,23.1455,22.2433,51.6969,22.2149,22.1591,3.3285,-51.9552,9.9651,True
