date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-13,24.8,25.39,24.76,19.4884346112,35972100.0,-0.2494,-0.1272,-0.1222,21.5577,19.1674,20.3625,40.3371,19.6212,20.1203,-6.1715,-129.4784,11.2781,False
2012-07-16,25.2259,25.31,25.0,19.3958163081,36984500.0,-0.2747,-0.122,-0.1527,21.4925,19.0619,20.2772,39.3827,19.4606,20.0274,-7.7624,-123.9507,11.2781,False
2012-07-17,25.33,25.66,24.85,19.5887711062,63631500.0,-0.276,-0.0987,-0.1774,21.3775,19.0195,20.1985,42.4235,19.4329,19.9929,-7.0627,-107.9126,8.7169,False
2012-07-18,25.195,26.42,25.05,20.229381036,67503500.0,-0.2228,-0.0363,-0.1865,21.2282,19.0684,20.1483,51.1419,19.5594,20.0035,-4.3793,-56.2436,3.4587,False
2012-07-19,26.35,26.35,25.82,20.1136081572,36555800.0,-0.1878,-0.0011,-0.1867,21.0205,19.1542,20.0874,49.6851,19.7632,19.9953,-5.045,-39.5625,3.4587,False
2012-07-20,25.87,26.0,25.5,19.6968257932,48844000.0,-0.1915,-0.0038,-0.1877,20.9564,19.1265,20.0414,44.7666,19.8049,19.9793,-5.763,-71.3973,5.45,False
2012-07-23,25.05,25.36,24.8,19.4961528031,36378200.0,-0.2082,-0.0164,-0.1918,20.8532,19.1004,19.9768,42.5915,19.8249,19.9078,-5.9347,-113.5975,9.5981,False
2012-07-24,25.19,25.22,24.79,19.299338909,33637600.0,-0.2346,-0.0342,-0.2003,20.8585,19.0145,19.9365,40.5225,19.7671,19.8224,-5.3659,-122.5407,9.6557,False
2012-07-25,25.02,25.525,25.0,19.3958163081,34407600.0,-0.2449,-0.0357,-0.2092,20.8516,18.9538,19.9027,42.0022,19.6003,19.7334,-2.8729,-102.3519,7.5312,False
2012-07-26,25.59,25.835,25.34,19.6813894093,37808200.0,-0.2274,-0.0145,-0.2129,20.8155,18.9343,19.8749,46.2436,19.5139,19.6793,-1.9172,-70.6978,5.4202,False
2012-07-27,25.68,26.07,25.47,20.0827353895,33344000.0,-0.1791,0.027,-0.2061,20.8269,18.9376,19.8823,51.5759,19.5911,19.6724,0.1537,-41.1836,3.8485,True
2012-07-30,25.98,26.2,25.68,19.8820623994,25878100.0,-0.1552,0.0407,-0.1959,20.7386,18.9572,19.8479,48.9735,19.6683,19.6513,-1.6886,-36.2178,2.9847,True
2012-07-31,25.76,26.04,25.7,19.8357532479,26616900.0,-0.1385,0.046,-0.1845,20.6356,18.9858,19.8107,48.37,19.7756,19.6585,-2.5814,-41.2787,2.9847,True
2012-08-01,25.83,26.0,25.67,20.0132716621,29207700.0,-0.1096,0.0599,-0.1695,20.4918,19.0578,19.7748,50.8571,19.899,19.6863,-3.2018,-33.1305,3.1769,True
2012-08-02,25.74,26.26,25.68,19.9978352783,34309900.0,-0.0869,0.066,-0.153,20.3972,19.1029,19.7501,50.6299,19.9623,19.7465,-2.161,-21.5068,1.4063,True
2012-08-03,26.25,26.35,25.98,20.4184767382,30692600.0,-0.0346,0.0947,-0.1293,20.4468,19.0765,19.7617,56.3269,20.0295,19.8085,0.2869,36.1606,0.7001,True
2012-08-06,26.22,26.56,26.2,20.4807519246,24613200.0,0.0117,0.1128,-0.1011,20.5065,19.0451,19.7758,57.112,20.1492,19.8808,2.2046,59.8947,2.0863,True
2012-08-07,26.46,26.64,26.35,20.6286554923,27077800.0,0.0597,0.1286,-0.0689,20.6399,19.0018,19.8208,58.9879,20.3078,19.9501,1.6976,82.0347,2.613,True
2012-08-08,26.48,26.74,26.3,20.7064994753,27034400.0,0.1028,0.1374,-0.0346,20.7737,18.9789,19.8763,59.9751,20.4464,19.9819,5.2669,90.3461,3.2744,True
2012-08-09,26.64,26.89,26.57,20.7843434583,26465300.0,0.1416,0.141,0.0006,20.8661,19.0555,19.9608,60.9815,20.6037,20.0267,7.7499,113.5371,4.2662,True
2012-08-10,26.7,26.9,26.5312,20.9244626276,24930300.0,0.1816,0.1447,0.0368,21.0021,19.0631,20.0326,62.786,20.7049,20.1085,6.856,118.003,3.9857,True
2012-08-13,26.76,26.83,26.41,20.77655906,23619700.0,0.199,0.1298,0.0693,21.0766,19.1267,20.1016,59.6653,20.7641,20.1939,6.9148,98.3069,3.1047,True
2012-08-14,26.8,26.81,26.38,20.6130866957,27470400.0,0.1974,0.1025,0.0949,21.1223,19.1834,20.1529,56.3486,20.761,20.2814,5.3779,84.2945,2.8853,True
2012-08-15,26.23,26.47,26.19,20.4496143314,26081000.0,0.1808,0.0687,0.1121,21.1415,19.1863,20.1639,53.1813,20.7096,20.3517,1.0487,51.4902,1.4941,True
2012-08-16,26.44,26.65,26.34,20.698715077,25699700.0,0.1856,0.0589,0.1268,21.1976,19.1886,20.1931,57.1167,20.6925,20.4195,2.0061,75.6105,2.7608,True
2012-08-17,26.57,26.63,26.21,20.4963207212,30376900.0,0.1712,0.0355,0.1357,21.2189,19.2473,20.2331,53.2222,20.6069,20.4471,3.3017,56.7399,1.7994,True
2012-08-20,26.22,26.33,26.1,20.4184767382,25600800.0,0.1516,0.0128,0.1389,21.2074,19.351,20.2792,51.7676,20.5352,20.4829,4.7155,34.2675,0.9863,True
2012-08-21,26.33,26.34,25.99,20.3250639586,31661300.0,0.1272,-0.0093,0.1365,21.1425,19.5185,20.3305,50.0103,20.4776,20.5155,5.3368,23.9855,0.1727,False
2012-08-22,25.89,26.01,25.66,20.0292568233,33619400.0,0.083,-0.0428,0.1258,21.0684,19.6559,20.3622,44.8452,20.3936,20.5165,2.7742,-19.3867,2.2305,False
2012-08-23,25.58,25.585,24.93,19.4921333406,51397600.0,0.0045,-0.097,0.1016,21.0991,19.6063,20.3527,37.342,20.1523,20.4828,-0.1182,-93.2521,7.2368,False
2012-08-24,25.05,25.07,24.7,19.3909361627,45187500.0,-0.065,-0.1333,0.0682,21.1683,19.468,20.3181,36.1221,19.9312,20.4143,-3.0109,-124.5433,8.7342,False
2012-08-27,24.86,24.94,24.75,19.3364453746,34424700.0,-0.1231,-0.1531,0.03,21.226,19.3557,20.2908,35.4538,19.7148,20.338,-3.9926,-128.955,8.7342,False
2012-08-28,24.79,25.01,24.68,19.4609957474,33119500.0,-0.1573,-0.1498,-0.0075,21.2567,19.2875,20.2721,38.2514,19.542,20.2602,-3.1316,-122.7813,9.1956,False
2012-08-29,24.93,24.96,24.54,19.2025537239,60462600.0,-0.2029,-0.1564,-0.0466,21.317,19.1461,20.2316,34.8895,19.3766,20.1599,-3.1765,-141.006,10.1197,False
2012-08-30,24.57,24.64,24.15,18.8927346716,37182200.0,-0.2611,-0.1716,-0.0895,21.4066,18.946,20.1763,31.3504,19.2567,20.0338,-5.3642,-175.0243,12.6383,False
2012-08-31,24.5,25.0,24.48,19.3286609764,43447800.0,-0.2689,-0.1435,-0.1254,21.3999,18.8437,20.1218,40.4559,19.2443,19.9274,-5.1233,-121.8855,9.7513,False
2012-09-04,25.03,25.06,24.27,19.0056084469,40688000.0,-0.2977,-0.1379,-0.1598,21.4028,18.6933,20.0481,36.6012,19.1781,19.8094,-5.6476,-135.606,11.1029,False
2012-09-05,24.4,24.78,24.19,18.9861474512,38595800.0,-0.3184,-0.1269,-0.1916,21.3682,18.5636,19.9659,36.3775,19.0831,19.7009,-6.982,-141.6434,11.6158,False
2012-09-06,24.47,25.1,24.46,19.5349475313,40187600.0,-0.2873,-0.0766,-0.2107,21.2785,18.5362,19.9074,46.2954,19.1496,19.6399,-6.1331,-93.6076,9.0566,False
2012-09-07,24.13,24.7,24.01,18.8304594852,86282100.0,-0.3158,-0.0841,-0.2317,21.1953,18.424,19.8097,38.1219,19.1372,19.5154,-8.1443,-145.7353,11.9439,False
2012-09-10,23.95,24.6,23.17,18.1065104434,80584600.0,-0.3923,-0.1285,-0.2638,21.1426,18.1949,19.6688,31.9176,18.8927,19.3561,-8.5502,-196.23,16.9492,False
2012-09-11,23.3,23.65,23.2,18.1687856298,54237700.0,-0.4428,-0.1432,-0.2996,21.0578,18.0189,19.5384,32.9237,18.7254,19.2061,-11.8524,-211.8138,16.9492,False
2012-09-12,23.39,23.58,23.06,18.0520196553,44862700.0,-0.4866,-0.1496,-0.337,20.9769,17.8438,19.4103,31.9745,18.5385,19.0545,-12.0477,-211.3248,17.755,False
2012-09-13,23.01,23.41,22.83,18.1804622273,52998300.0,-0.5051,-0.1345,-0.3706,20.8745,17.7192,19.2969,34.2101,18.2676,18.9313,-11.5603,-206.2685,19.0669,False
2012-09-14,23.45,23.54,23.23,18.1921388247,47983700.0,-0.513,-0.1139,-0.3991,20.6806,17.6625,19.1715,34.42,18.14,18.8446,-11.6698,-180.9328,17.9851,False
2012-09-17,23.29,23.44,23.16,18.1454324349,36169000.0,-0.517,-0.0943,-0.4227,20.4968,17.6112,19.054,33.9557,18.1478,18.7616,-11.979,-177.5216,18.3911,False
2012-09-18,23.31,23.52,23.14,18.1921388247,41948200.0,-0.5105,-0.0703,-0.4403,20.2874,17.598,18.9427,34.8967,18.1524,18.6853,-10.6722,-165.4302,17.7138,False
2012-09-19,23.5,23.51,23.14,18.0208820621,39459800.0,-0.5133,-0.0584,-0.4549,20.0696,17.5854,18.8275,33.0469,18.1462,18.5893,-10.7441,-162.3099,17.7138,False
2012-09-20,23.09,23.18,22.99,18.0433011292,33083000.0,-0.5079,-0.0424,-0.4655,19.8847,17.5717,18.7282,33.541,18.1188,18.512,-10.8804,-164.5122,18.6166,False
2012-09-21,23.22,23.27,23.01,18.0014210664,56246600.0,-0.5011,-0.0285,-0.4726,19.7956,17.5116,18.6536,33.0528,18.0806,18.4526,-9.0483,-154.9707,17.8278,False
2012-09-24,22.93,22.95,22.52,17.7445359225,48846500.0,-0.5106,-0.0304,-0.4802,19.7262,17.4165,18.5713,30.1669,18.0005,18.347,-8.4563,-172.696,20.7458,False
2012-09-25,22.95,22.965,22.51,17.5421415667,49535100.0,-0.5284,-0.0386,-0.4899,19.6632,17.3,18.4816,28.0961,17.8705,18.2494,-7.919,-169.8628,20.6125,False
2012-09-26,22.57,22.75,22.48,17.627769948,49734700.0,-0.5295,-0.0317,-0.4978,19.5373,17.2425,18.3899,30.266,17.7918,18.1589,-9.0364,-164.9445,20.7904,False
2012-09-27,22.76,23.14,22.65,17.9702834732,43872200.0,-0.497,0.0006,-0.4976,19.4258,17.2308,18.3283,38.2519,17.7772,18.0546,-7.2917,-136.7564,17.3148,True
2012-09-28,23.06,23.06,22.59,17.6355543463,47920800.0,-0.4926,0.0041,-0.4966,19.3704,17.1605,18.2655,34.1562,17.7041,17.9749,-6.4123,-143.4426,17.6854,True
2012-10-01,22.78,23.17,22.68,17.7133983293,55261300.0,-0.4773,0.0155,-0.4927,19.1995,17.1699,18.1847,35.8672,17.6978,17.9487,-7.32,-130.6479,16.7102,True
2012-10-02,22.89,23.0,22.66,17.7795657149,36381100.0,-0.4546,0.0306,-0.4851,19.0788,17.168,18.1234,37.3499,17.7453,17.9227,-8.2203,-126.556,16.8377,True
2012-10-03,22.86,22.97,22.49,17.5538181642,49772700.0,-0.4496,0.0284,-0.478,18.9508,17.1527,18.0518,34.4394,17.7305,17.8895,-7.3043,-130.0883,17.923,True
2012-10-04,22.58,22.62,22.27,17.4876507786,52980100.0,-0.4459,0.0257,-0.4716,18.574,17.3249,17.9494,33.6168,17.634,17.8433,-9.8805,-135.8055,19.3089,True
2012-10-05,22.66,22.895,22.58,17.6550153421,38344600.0,-0.4245,0.0377,-0.4622,18.3788,17.4024,17.8906,37.6528,17.6379,17.8075,-7.3077,-114.1415,16.8018,True
2012-10-08,22.62,22.62,22.4,17.522680571,29698200.0,-0.4135,0.0389,-0.4524,18.3641,17.3588,17.8614,35.8084,17.5997,17.766,-8.0488,-119.7171,17.9495,True
2012-10-09,22.16,22.19,21.85,17.0478322748,66317400.0,-0.438,0.0115,-0.4495,18.4001,17.2107,17.8054,30.1336,17.4534,17.6897,-6.1734,-140.947,21.322,True
2012-10-10,21.9,22.0,21.7,16.9388506986,47188900.0,-0.461,-0.0091,-0.4518,18.442,17.0575,17.7497,29.0033,17.3304,17.6176,-6.7006,-141.4954,22.2088,False
2012-10-11,21.87,21.88,21.52,16.8765755122,36817700.0,-0.4786,-0.0214,-0.4572,18.4446,16.9245,17.6845,28.3523,17.2082,17.5398,-6.5357,-140.7038,23.2642,False
2012-10-12,21.58,21.85,21.4,16.7211210781,46274000.0,-0.4994,-0.0338,-0.4656,18.4417,16.7803,17.611,26.7464,17.0214,17.4545,-7.1793,-139.6403,23.9637,False
2012-10-15,21.53,21.9,21.5,16.9154975037,49513800.0,-0.4945,-0.0231,-0.4714,18.3948,16.7042,17.5495,31.9128,16.9,17.3992,-6.57,-127.0321,23.4867,False
2012-10-16,21.99,22.47,21.95,17.3981301982,80707000.0,-0.4466,0.0199,-0.4664,18.3037,16.7159,17.5098,42.6695,16.97,17.3896,-4.4643,-96.7181,18.214,True
2012-10-17,21.27,21.98,21.265,16.9622038935,99053800.0,-0.4387,0.0222,-0.4609,18.2486,16.6652,17.4569,37.011,16.9747,17.3452,-6.5079,-118.2071,22.2702,True
2012-10-18,21.82,21.855,21.6,16.8687911139,42921800.0,-0.4349,0.0208,-0.4557,18.1813,16.6149,17.3981,35.9174,16.9731,17.2718,-5.7161,-111.8628,22.2702,True
2012-10-19,21.67,21.69,21.22,16.5535229828,55622300.0,-0.4522,0.0028,-0.455,18.1396,16.5119,17.3257,32.4503,16.9396,17.1996,-6.7899,-120.8107,24.4207,True
2012-10-22,21.4,21.565,21.3,16.7053187496,36500300.0,-0.4484,0.0052,-0.4537,18.1065,16.4411,17.2738,35.6545,16.8976,17.1324,-6.0349,-114.2047,24.4207,True
2012-10-23,21.32,21.77,21.3,16.8065159275,47194400.0,-0.4323,0.0171,-0.4494,18.0839,16.3901,17.237,37.7633,16.7793,17.0676,-5.2036,-105.632,22.5294,True
2012-10-24,21.73,21.74,21.41,16.7053187496,33237800.0,-0.4229,0.0212,-0.4441,18.0481,16.3337,17.1909,36.4823,16.7279,17.011,-4.4396,-102.9122,22.5294,True
2012-10-25,21.58,21.75,21.51,16.8843599105,79226400.0,-0.3963,0.0382,-0.4345,17.9242,16.349,17.1366,40.3199,16.731,16.9708,-6.0069,-95.1515,22.4355,True
2012-10-26,21.77,22.02,21.6,17.0867542662,92415400.0,-0.3549,0.0637,-0.4186,17.8628,16.3555,17.1091,44.3893,16.8377,16.9329,-4.51,-83.9694,19.9126,True
2012-10-31,22.01,22.09,21.59,16.8376535207,40612800.0,-0.3382,0.0643,-0.4025,17.7739,16.3568,17.0654,40.7272,16.8641,16.8872,-4.6612,-85.6661,19.2646,True
2012-11-01,21.76,22.41,21.72,17.3280706135,50359300.0,-0.2822,0.0963,-0.3785,17.6845,16.4011,17.0428,49.513,16.9684,16.9059,-2.5652,-68.3468,16.342,True
2012-11-02,22.39,22.54,22.02,17.1723826475,51737600.0,-0.2475,0.1047,-0.3523,17.6249,16.4225,17.0237,47.1365,17.0618,16.9215,-1.872,-63.4194,15.176,True
2012-11-05,22.02,22.11,21.72,17.1755742508,48797400.0,-0.2173,0.108,-0.3253,17.5756,16.4406,17.0081,47.1922,17.1201,16.9414,-1.2476,-66.2484,15.6799,True
2012-11-06,21.73,22.0,21.63,17.0897714865,49860500.0,-0.198,0.1019,-0.2998,17.4661,16.4936,16.9798,45.8028,17.1207,16.966,-2.9192,-70.0362,16.2833,True
2012-11-07,21.54,21.55,20.9,16.4448744493,70960100.0,-0.232,0.0543,-0.2863,17.3983,16.4536,16.926,37.0247,17.0421,16.9346,-3.7488,-102.2731,20.9488,True
2012-11-08,20.9,21.13,20.82,16.3819576651,38090000.0,-0.261,0.0202,-0.2812,17.417,16.3683,16.8927,36.2976,16.8529,16.8669,-3.7959,-110.9426,21.4368,True
2012-11-09,20.81,21.14,20.8,16.3583638711,35017900.0,-0.2827,-0.0012,-0.2815,17.4366,16.2907,16.8636,36.0134,16.6901,16.8266,-2.9191,-110.0692,21.5599,False
2012-11-12,20.88,20.91,20.65,16.3308377781,27267000.0,-0.2987,-0.0137,-0.2849,17.4544,16.2183,16.8364,35.6644,16.5212,16.7908,-3.4487,-115.7008,22.4862,False
2012-11-13,20.57,20.82,20.18,15.9494047743,56379200.0,-0.3382,-0.0426,-0.2956,17.5263,16.0693,16.7978,31.1782,16.2931,16.7505,-3.7323,-133.4538,25.2972,False
2012-11-14,20.42,20.5,19.95,15.6977376378,58961300.0,-0.3854,-0.0718,-0.3135,17.6059,15.8679,16.7369,28.6321,16.1437,16.6833,-5.4283,-148.2689,26.6215,False
2012-11-15,20.01,20.29,19.98,15.752789824,45733800.0,-0.4135,-0.08,-0.3335,17.568,15.7412,16.6546,29.9724,16.0178,16.6131,-8.7715,-148.2855,26.6215,False
2012-11-16,20.0701,20.26,19.77,15.8786233922,50855500.0,-0.4209,-0.0699,-0.351,17.5617,15.6391,16.6004,33.0515,15.9219,16.5579,-6.8757,-147.2369,27.8296,False
2012-11-19,19.99,20.45,19.73,15.9258109803,69433800.0,-0.4181,-0.0536,-0.3644,17.5492,15.5574,16.5533,34.2137,15.8409,16.494,-5.4647,-139.3485,25.9221,False
2012-11-20,19.88,19.88,19.35,15.3463473985,85743300.0,-0.4573,-0.0743,-0.383,17.6192,15.3666,16.4929,27.8521,15.7203,16.378,-7.4006,-168.9581,28.1042,False
2012-11-21,19.52,19.55,19.23,15.225861757,95636000.0,-0.4925,-0.0876,-0.4049,17.6674,15.1705,16.419,26.7443,15.6259,16.2706,-8.4098,-174.9123,28.7779,False
2012-11-23,19.53,19.84,19.51,15.5089872855,51711900.0,-0.4918,-0.0695,-0.4223,17.6492,15.0589,16.3541,33.4125,15.5771,16.1493,-7.9265,-150.6534,25.8789,False
2012-11-26,19.69,19.92,19.62,15.6387531527,67047900.0,-0.4753,-0.0425,-0.4329,17.6213,14.9802,16.3007,36.2617,15.5292,16.047,-7.4277,-139.4303,25.0889,False
2012-11-27,19.95,20.19,19.92,15.6741438438,44893200.0,-0.4542,-0.017,-0.4372,17.5591,14.9213,16.2402,37.0487,15.4788,15.947,-6.216,-123.133,22.4513,False
2012-11-28,19.89,20.11,19.64,15.799977412,43226300.0,-0.4224,0.0118,-0.4342,17.4481,14.9037,16.1759,39.877,15.5695,15.861,-7.733,-123.6671,24.1382,True
2012-11-29,19.83,20.035,19.46,15.3595599232,64926300.0,-0.4278,0.0051,-0.4329,17.3835,14.8205,16.102,34.1272,15.5963,15.7886,-8.3684,-137.2172,25.202,True
2012-11-30,19.63,19.77,19.42,15.3870860163,51427800.0,-0.425,0.0063,-0.4314,17.1907,14.8191,16.0049,34.7572,15.5719,15.7223,-10.8716,-138.8741,25.4383,True
2012-12-03,19.88,19.9156,19.5,15.3674245212,50637000.0,-0.4195,0.0095,-0.429,17.002,14.8274,15.9147,34.5046,15.5176,15.6562,-10.733,-130.7982,23.9885,True
2012-12-04,19.63,20.05,19.61,15.70513036,57942400.0,-0.3835,0.0364,-0.4199,16.7639,14.9184,15.8412,42.229,15.5238,15.6145,-9.3171,-113.2964,22.6577,True
2012-12-05,19.94,20.02,19.74,15.6112270597,45847000.0,-0.3584,0.0492,-0.4076,16.4941,15.0404,15.7672,40.7956,15.4861,15.592,-9.0,-110.5816,22.6577,True
2012-12-06,19.99,20.29,19.97,15.8550295981,46291200.0,-0.3152,0.0739,-0.3891,16.397,15.0785,15.7378,45.9036,15.5852,15.6025,-5.8469,-89.0306,19.9822,True
2012-12-07,20.33,20.36,20.03,15.8510972991,41701200.0,-0.2781,0.0888,-0.3669,16.304,15.1185,15.7112,45.8353,15.678,15.609,-3.6441,-83.0299,19.2961,True
2012-12-10,20.15,20.17,19.98,15.792112814,27273200.0,-0.2505,0.0931,-0.3436,16.1983,15.1674,15.6829,44.7642,15.7629,15.6032,-4.5885,-87.0173,19.6299,True
